Mindat_id,Deposit_type,age_category,litho_class,Latitude,Longitude,age_midpoint_ma,lithology_A_class,lithology_A_status,lithology_A_source
9702.0,VMS,Precambrian,metamorphic,64.4138888889,25.1422222222,1520.5,metamorphic,resolved,Macrostrat_original
9706.0,Porphyry,Cenozoic,metamorphic,40.4722222222,23.7036111111,19.0,metamorphic,resolved,Macrostrat_original
9736.0,Sediment-Hosted,Precambrian,volcanic,-12.648545714661,28.040627977094,900.0,volcanic,resolved,Macrostrat_original
9743.0,VMS,Mesozoic,other,24.41869265,56.40773624,100.0,other,other,Macrostrat_original
9786.0,IOCG,Precambrian,volcanic,19.75,-14.3833333333,2492.0,volcanic,resolved,Macrostrat_original
9832.0,VMS,Precambrian,volcanic,48.3061111111,-79.0672222222,3250.0,volcanic,resolved,Macrostrat_original
9905.0,Porphyry,Cenozoic,carbonate,47.899009728278,20.089933276176,35.3,carbonate,resolved,Macrostrat_original
10049.0,Sediment-Hosted,Unknown,volcanic,-12.82324,28.07512,,volcanic,resolved,Macrostrat_original
10058.0,VMS,Precambrian,volcanic,54.8333333333,-100.283333333,1800.0,volcanic,resolved,Macrostrat_original
10277.0,VMS,Paleozoic,unknown,0.0,0.0,340.0,unknown,unknown,Macrostrat_original
10328.0,Magmatic sulfide,Precambrian,siliciclastic,46.476256349528,-81.06023639679,1785.0,siliciclastic,resolved,Macrostrat_original
10351.0,VMS,Precambrian,volcanic,54.6513888889,-102.331388889,1520.5,volcanic,resolved,Macrostrat_original
10383.0,Magmatic sulfide,Precambrian,mafic,46.462280137519,-81.186388528286,1785.0,mafic,resolved,Macrostrat_original
10452.0,VMS,Precambrian,mafic,54.722092157646,-101.70988082886,1907.5,mafic,resolved,Macrostrat_original
10591.0,Porphyry,Precambrian,felsic,67.0725,20.9575,935.85,felsic,resolved,Macrostrat_original
10617.0,VMS,Precambrian,felsic,67.785476874728,20.078332900302,1930.0,felsic,resolved,Macrostrat_original
10618.0,VMS,Precambrian,felsic,67.8776890181,20.1402924561,2200.0,felsic,resolved,Macrostrat_original
10663.0,VMS,Precambrian,felsic,64.8467083298,20.2762852907,1520.5,felsic,resolved,Macrostrat_original
10687.0,VMS,Paleozoic,mafic,47.4297222222,-66.4016666667,445.0,mafic,resolved,Macrostrat_original
