Mindat_id,Deposit_type,age_category,Latitude,Longitude,age_midpoint_ma,glim_level1_code,glim_level1_description,lithology_B_class,lithology_B_status,lithology_B_confidence,glim_mapping_rationale,glim_match_method,glim_match_count,glim_overlap_ambiguous,lithology_B_source
4364.0,VMS,Cenozoic,40.402012533194,140.69662520124,14.15,py,Pyroclastics,volcanic,resolved,medium,Pyroclastic surface unit,exact_point_in_polygon,1,False,GLiM_full_polygon
4381.0,VMS,Precambrian,48.69,-81.3666666667,2716.0,va,Acid volcanic rocks,volcanic,resolved,high,Acid volcanic rock,exact_point_in_polygon,1,False,GLiM_full_polygon
4464.0,Porphyry,Cenozoic,32.651040512379,-108.36550795271,55.5,ss,Siliciclastic sedimentary rocks,siliciclastic,resolved,high,Siliciclastic sedimentary rock,exact_point_in_polygon,1,False,GLiM_full_polygon
4496.0,VMS,Precambrian,45.4425,-91.115277777778,1820.0,mt,Metamorphics,metamorphic,resolved,high,Direct Level 1 correspondence,exact_point_in_polygon,1,False,GLiM_full_polygon
4555.0,Sediment-Hosted,Cenozoic,0.0,0.0,45.0,,,unknown,unknown,none,No exact polygon match or unrecognized Level 1 code,no_exact_polygon_match,0,False,GLiM_full_polygon
5436.0,Porphyry,Cenozoic,33.0905555556,-109.366111111,56.0,pa,Acid plutonic rocks,felsic,resolved,high,Acid plutonic rock,exact_point_in_polygon,1,False,GLiM_full_polygon
5774.0,VMS,Paleozoic,-42.0657812716,145.570973714,502.0,va,Acid volcanic rocks,volcanic,resolved,high,Acid volcanic rock,exact_point_in_polygon,1,False,GLiM_full_polygon
5792.0,Porphyry,Cenozoic,31.410301572411,97.73015250491,33.0,sm,Mixed sedimentary rocks,other,other,low,Mixed sedimentary not forced into carbonate or siliciclastic,exact_point_in_polygon,1,False,GLiM_full_polygon
5793.0,Porphyry,Cenozoic,31.0166666667,97.9166666667,36.55,sm,Mixed sedimentary rocks,other,other,low,Mixed sedimentary not forced into carbonate or siliciclastic,exact_point_in_polygon,1,False,GLiM_full_polygon
5798.0,Porphyry,Cenozoic,27.4,101.133333333,33.55,sm,Mixed sedimentary rocks,other,other,low,Mixed sedimentary not forced into carbonate or siliciclastic,exact_point_in_polygon,1,False,GLiM_full_polygon
6001.0,VMS,Paleozoic,44.566012554007,-71.257580934437,470.0,vi,Intermediate volcanic rocks,volcanic,resolved,high,Intermediate volcanic rock,exact_point_in_polygon,1,False,GLiM_full_polygon
6771.0,VMS,Precambrian,49.1552777778,-85.7894444444,2720.0,pa,Acid plutonic rocks,felsic,resolved,high,Acid plutonic rock,exact_point_in_polygon,1,False,GLiM_full_polygon
6926.0,Porphyry,Mesozoic,44.9833333333,21.7833333333,74.005,sc,Carbonate sedimentary rocks,carbonate,resolved,high,Carbonate sedimentary rock,exact_point_in_polygon,1,False,GLiM_full_polygon
7314.0,Porphyry,Unknown,0.0,0.0,,,,unknown,unknown,none,No exact polygon match or unrecognized Level 1 code,no_exact_polygon_match,0,False,GLiM_full_polygon
7372.0,VMS,Paleozoic,0.0,0.0,440.0,,,unknown,unknown,none,No exact polygon match or unrecognized Level 1 code,no_exact_polygon_match,0,False,GLiM_full_polygon
7376.0,VMS,Paleozoic,0.0,0.0,500.0,,,unknown,unknown,none,No exact polygon match or unrecognized Level 1 code,no_exact_polygon_match,0,False,GLiM_full_polygon
7377.0,Porphyry,Paleozoic,45.6,-70.3333333333,443.0,pa,Acid plutonic rocks,felsic,resolved,high,Acid plutonic rock,exact_point_in_polygon,1,False,GLiM_full_polygon
7378.0,Porphyry,Paleozoic,45.5358333333,-70.2166666667,443.0,pa,Acid plutonic rocks,felsic,resolved,high,Acid plutonic rock,exact_point_in_polygon,1,False,GLiM_full_polygon
7797.0,Magmatic sulfide,Precambrian,-27.22868394857,120.54439591183,2706.0,su,Unconsolidated sediments,other,other,low,Unconsolidated cover not treated as bedrock host lithology,exact_point_in_polygon,1,False,GLiM_full_polygon
7971.0,Sediment-Hosted,Unknown,35.993888855,-106.896942139,,ss,Siliciclastic sedimentary rocks,siliciclastic,resolved,high,Siliciclastic sedimentary rock,exact_point_in_polygon,1,False,GLiM_full_polygon
8049.0,Magmatic sulfide,Precambrian,46.458842,-81.080933,1785.0,sm,Mixed sedimentary rocks,other,other,low,Mixed sedimentary not forced into carbonate or siliciclastic,exact_point_in_polygon,1,False,GLiM_full_polygon
8064.0,Porphyry,Cenozoic,38.4891666667,-113.1275,28.0,pa,Acid plutonic rocks,felsic,resolved,high,Acid plutonic rock,exact_point_in_polygon,1,False,GLiM_full_polygon
8082.0,Magmatic sulfide,Precambrian,46.6333333333,-81.3833333333,1770.0,pb,Basic plutonic rocks,mafic,resolved,high,Basic plutonic rock,exact_point_in_polygon,1,False,GLiM_full_polygon
8182.0,Magmatic sulfide,Precambrian,46.5361111111,-80.9988888889,1785.0,vi,Intermediate volcanic rocks,volcanic,resolved,high,Intermediate volcanic rock,exact_point_in_polygon,1,False,GLiM_full_polygon
8302.0,Sediment-Hosted,Precambrian,26.180074,103.05997,1500.0,sm,Mixed sedimentary rocks,other,other,low,Mixed sedimentary not forced into carbonate or siliciclastic,exact_point_in_polygon,1,False,GLiM_full_polygon
8417.0,Porphyry,Paleozoic,40.8138888889,69.6463888889,293.0,vi,Intermediate volcanic rocks,volcanic,resolved,high,Intermediate volcanic rock,exact_point_in_polygon,1,False,GLiM_full_polygon
