Mindat_id,Deposit_type,age_category,Latitude,Longitude,macrostrat_class,macrostrat_status,glim_level1_code,glim_level1_description,glim_model_class,glim_status,glim_assignment_confidence,agreement_status,glim_overlap_ambiguous,lithology_C_class,lithology_C_status,lithology_C_source,lithology_C_confidence,lithology_C_reason
5436.0,Porphyry,Cenozoic,33.0905555556,-109.366111111,felsic,resolved,pa,Acid plutonic rocks,felsic,resolved,high,both_resolved_agree,False,felsic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
5774.0,VMS,Paleozoic,-42.0657812716,145.570973714,felsic,resolved,va,Acid volcanic rocks,volcanic,resolved,high,both_resolved_disagree,False,felsic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
5792.0,Porphyry,Cenozoic,31.410301572411,97.73015250491,other,other,sm,Mixed sedimentary rocks,other,other,low,both_unresolved_macro_other_glim_other,False,other,other,unresolved_broad_class,low,Neither source supports a cautious specific class
5793.0,Porphyry,Cenozoic,31.0166666667,97.9166666667,other,other,sm,Mixed sedimentary rocks,other,other,low,both_unresolved_macro_other_glim_other,False,other,other,unresolved_broad_class,low,Neither source supports a cautious specific class
5798.0,Porphyry,Cenozoic,27.4,101.133333333,other,other,sm,Mixed sedimentary rocks,other,other,low,both_unresolved_macro_other_glim_other,False,other,other,unresolved_broad_class,low,Neither source supports a cautious specific class
6001.0,VMS,Paleozoic,44.566012554007,-71.257580934437,volcanic,resolved,vi,Intermediate volcanic rocks,volcanic,resolved,high,both_resolved_agree,False,volcanic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
6771.0,VMS,Precambrian,49.1552777778,-85.7894444444,volcanic,resolved,pa,Acid plutonic rocks,felsic,resolved,high,both_resolved_disagree,False,volcanic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
6926.0,Porphyry,Mesozoic,44.9833333333,21.7833333333,carbonate,resolved,sc,Carbonate sedimentary rocks,carbonate,resolved,high,both_resolved_agree,False,carbonate,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
7314.0,Porphyry,Unknown,0.0,0.0,unknown,unknown,,,unknown,unknown,none,both_unresolved_macro_unknown_glim_unknown,False,unknown,unknown,unresolved_no_class,none,Neither source provides a usable lithology class
7372.0,VMS,Paleozoic,0.0,0.0,unknown,unknown,,,unknown,unknown,none,both_unresolved_macro_unknown_glim_unknown,False,unknown,unknown,unresolved_no_class,none,Neither source provides a usable lithology class
7376.0,VMS,Paleozoic,0.0,0.0,unknown,unknown,,,unknown,unknown,none,both_unresolved_macro_unknown_glim_unknown,False,unknown,unknown,unresolved_no_class,none,Neither source provides a usable lithology class
7377.0,Porphyry,Paleozoic,45.6,-70.3333333333,felsic,resolved,pa,Acid plutonic rocks,felsic,resolved,high,both_resolved_agree,False,felsic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
7378.0,Porphyry,Paleozoic,45.5358333333,-70.2166666667,felsic,resolved,pa,Acid plutonic rocks,felsic,resolved,high,both_resolved_agree,False,felsic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
7797.0,Magmatic sulfide,Precambrian,-27.22868394857,120.54439591183,mafic,resolved,su,Unconsolidated sediments,other,other,low,macrostrat_resolved_glim_other,False,mafic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
7971.0,Sediment-Hosted,Unknown,35.993888855,-106.896942139,carbonate,resolved,ss,Siliciclastic sedimentary rocks,siliciclastic,resolved,high,both_resolved_disagree,False,carbonate,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
8049.0,Magmatic sulfide,Precambrian,46.458842,-81.080933,siliciclastic,resolved,sm,Mixed sedimentary rocks,other,other,low,macrostrat_resolved_glim_other,False,siliciclastic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
8064.0,Porphyry,Cenozoic,38.4891666667,-113.1275,felsic,resolved,pa,Acid plutonic rocks,felsic,resolved,high,both_resolved_agree,False,felsic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
8082.0,Magmatic sulfide,Precambrian,46.6333333333,-81.3833333333,other,other,pb,Basic plutonic rocks,mafic,resolved,high,glim_resolves_macrostrat_other,False,mafic,resolved,GLiM_fallback,high,GLiM resolves original Macrostrat other
8182.0,Magmatic sulfide,Precambrian,46.5361111111,-80.9988888889,felsic,resolved,vi,Intermediate volcanic rocks,volcanic,resolved,high,both_resolved_disagree,False,felsic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
8302.0,Sediment-Hosted,Precambrian,26.180074,103.05997,mafic,resolved,sm,Mixed sedimentary rocks,other,other,low,macrostrat_resolved_glim_other,False,mafic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
8417.0,Porphyry,Paleozoic,40.8138888889,69.6463888889,volcanic,resolved,vi,Intermediate volcanic rocks,volcanic,resolved,high,both_resolved_agree,False,volcanic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
8418.0,VMS,Precambrian,18.0163888889,43.7011111111,other,other,mt,Metamorphics,metamorphic,resolved,high,glim_resolves_macrostrat_other,False,metamorphic,resolved,GLiM_fallback,high,GLiM resolves original Macrostrat other
8428.0,Porphyry,Cenozoic,7.33333333333,126.15,other,other,sm,Mixed sedimentary rocks,other,other,low,both_unresolved_macro_other_glim_other,False,other,other,unresolved_broad_class,low,Neither source supports a cautious specific class
8563.0,VMS,Cenozoic,15.987921786818,119.95553389241,other,other,sm,Mixed sedimentary rocks,other,other,low,both_unresolved_macro_other_glim_other,False,other,other,unresolved_broad_class,low,Neither source supports a cautious specific class
8577.0,Porphyry,Cenozoic,9.49166666667,122.679166667,other,other,pa,Acid plutonic rocks,felsic,resolved,high,glim_resolves_macrostrat_other,False,felsic,resolved,GLiM_fallback,high,GLiM resolves original Macrostrat other
8582.0,Porphyry,Cenozoic,17.3444444444,121.058333333,other,other,sm,Mixed sedimentary rocks,other,other,low,both_unresolved_macro_other_glim_other,False,other,other,unresolved_broad_class,low,Neither source supports a cautious specific class
8587.0,VMS,Paleozoic,23.1097222222,97.2966666667,metamorphic,resolved,sm,Mixed sedimentary rocks,other,other,low,macrostrat_resolved_glim_other,False,metamorphic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
8588.0,VMS,Mesozoic,24.35,56.4,other,other,pb,Basic plutonic rocks,mafic,resolved,high,glim_resolves_macrostrat_other,False,mafic,resolved,GLiM_fallback,high,GLiM resolves original Macrostrat other
8667.0,VMS,Mesozoic,33.8527777778,133.313888889,other,other,mt,Metamorphics,metamorphic,resolved,high,glim_resolves_macrostrat_other,False,metamorphic,resolved,GLiM_fallback,high,GLiM resolves original Macrostrat other
8700.0,VMS,Precambrian,54.6611111111,-102.033333333,volcanic,resolved,vb,Basic volcanic rocks,volcanic,resolved,high,both_resolved_agree,False,volcanic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
8701.0,Magmatic sulfide,Precambrian,55.7022222222,-97.9247222222,metamorphic,resolved,mt,Metamorphics,metamorphic,resolved,high,both_resolved_agree,False,metamorphic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
8744.0,Sediment-Hosted,Precambrian,-31.087736111111,138.67381944444,carbonate,resolved,sm,Mixed sedimentary rocks,other,other,low,macrostrat_resolved_glim_other,False,carbonate,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
8794.0,VMS,Mesozoic,55.393361111111,-129.85136388889,mafic,resolved,vb,Basic volcanic rocks,volcanic,resolved,high,both_resolved_disagree,False,mafic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
8802.0,Porphyry,Cenozoic,16.6377777778,120.676666667,other,other,sm,Mixed sedimentary rocks,other,other,low,both_unresolved_macro_other_glim_other,False,other,other,unresolved_broad_class,low,Neither source supports a cautious specific class
8831.0,Porphyry,Cenozoic,-6.31513109142,155.495322227,other,other,pi,Intermediate plutonic rocks,other,other,low,both_unresolved_macro_other_glim_other,False,other,other,unresolved_broad_class,low,Neither source supports a cautious specific class
8859.0,Porphyry,Mesozoic,49.879444444444,-120.00638888889,felsic,resolved,pa,Acid plutonic rocks,felsic,resolved,high,both_resolved_agree,False,felsic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
8875.0,VMS,Mesozoic,49.61,-123.141666667,volcanic,resolved,sm,Mixed sedimentary rocks,other,other,low,macrostrat_resolved_glim_other,False,volcanic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
8886.0,Porphyry,Cenozoic,-33.149265422398,-70.280914306641,volcanic,resolved,pa,Acid plutonic rocks,felsic,resolved,high,both_resolved_disagree,False,volcanic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
8905.0,VMS,Paleozoic,47.4083333333,-65.8225,volcanic,resolved,ss,Siliciclastic sedimentary rocks,siliciclastic,resolved,high,both_resolved_disagree,False,volcanic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
8906.0,VMS,Paleozoic,47.4788888889,-65.8922222222,other,other,ss,Siliciclastic sedimentary rocks,siliciclastic,resolved,high,glim_resolves_macrostrat_other,False,siliciclastic,resolved,GLiM_fallback,high,GLiM resolves original Macrostrat other
8945.0,VMS,Paleozoic,48.8230555556,-56.8661111111,mafic,resolved,vb,Basic volcanic rocks,volcanic,resolved,high,both_resolved_disagree,False,mafic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
9014.0,VMS,Paleozoic,50.1975,82.4347222222,other,other,vi,Intermediate volcanic rocks,volcanic,resolved,high,glim_resolves_macrostrat_other,False,volcanic,resolved,GLiM_fallback,high,GLiM resolves original Macrostrat other
9386.0,Magmatic sulfide,Mesozoic,61.4652777778,-139.5275,volcanic,resolved,pb,Basic plutonic rocks,mafic,resolved,high,both_resolved_disagree,False,volcanic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
9496.0,VMS,Precambrian,64.871667,20.362968,felsic,resolved,va,Acid volcanic rocks,volcanic,resolved,high,both_resolved_disagree,False,felsic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
9552.0,VMS,Mesozoic,38.2294444444,-120.881944444,carbonate,resolved,ss,Siliciclastic sedimentary rocks,siliciclastic,resolved,high,both_resolved_disagree,False,carbonate,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
9592.0,VMS,Paleozoic,-35.5915697261,149.442210503,volcanic,resolved,sm,Mixed sedimentary rocks,other,other,low,macrostrat_resolved_glim_other,False,volcanic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
9697.0,VMS,Precambrian,64.058,24.79,siliciclastic,resolved,mt,Metamorphics,metamorphic,resolved,high,both_resolved_disagree,False,siliciclastic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
9702.0,VMS,Precambrian,64.4138888889,25.1422222222,metamorphic,resolved,va,Acid volcanic rocks,volcanic,resolved,high,both_resolved_disagree,False,metamorphic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
9706.0,Porphyry,Cenozoic,40.4722222222,23.7036111111,metamorphic,resolved,mt,Metamorphics,metamorphic,resolved,high,both_resolved_agree,False,metamorphic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
9736.0,Sediment-Hosted,Precambrian,-12.648545714661,28.040627977094,volcanic,resolved,mt,Metamorphics,metamorphic,resolved,high,both_resolved_disagree,False,volcanic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
9743.0,VMS,Mesozoic,24.41869265,56.40773624,other,other,sc,Carbonate sedimentary rocks,carbonate,resolved,high,glim_resolves_macrostrat_other,False,carbonate,resolved,GLiM_fallback,high,GLiM resolves original Macrostrat other
9786.0,IOCG,Precambrian,19.75,-14.3833333333,volcanic,resolved,mt,Metamorphics,metamorphic,resolved,high,both_resolved_disagree,False,volcanic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
9832.0,VMS,Precambrian,48.3061111111,-79.0672222222,volcanic,resolved,vi,Intermediate volcanic rocks,volcanic,resolved,high,both_resolved_agree,False,volcanic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
9905.0,Porphyry,Cenozoic,47.899009728278,20.089933276176,carbonate,resolved,py,Pyroclastics,volcanic,resolved,medium,both_resolved_disagree,False,carbonate,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
10049.0,Sediment-Hosted,Unknown,-12.82324,28.07512,volcanic,resolved,mt,Metamorphics,metamorphic,resolved,high,both_resolved_disagree,False,volcanic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
10058.0,VMS,Precambrian,54.8333333333,-100.283333333,volcanic,resolved,pa,Acid plutonic rocks,felsic,resolved,high,both_resolved_disagree,False,volcanic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
10277.0,VMS,Paleozoic,0.0,0.0,unknown,unknown,,,unknown,unknown,none,both_unresolved_macro_unknown_glim_unknown,False,unknown,unknown,unresolved_no_class,none,Neither source provides a usable lithology class
10328.0,Magmatic sulfide,Precambrian,46.476256349528,-81.06023639679,siliciclastic,resolved,sm,Mixed sedimentary rocks,other,other,low,macrostrat_resolved_glim_other,False,siliciclastic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
10351.0,VMS,Precambrian,54.6513888889,-102.331388889,volcanic,resolved,va,Acid volcanic rocks,volcanic,resolved,high,both_resolved_agree,False,volcanic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
10383.0,Magmatic sulfide,Precambrian,46.462280137519,-81.186388528286,mafic,resolved,vi,Intermediate volcanic rocks,volcanic,resolved,high,both_resolved_disagree,False,mafic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
10452.0,VMS,Precambrian,54.722092157646,-101.70988082886,mafic,resolved,pb,Basic plutonic rocks,mafic,resolved,high,both_resolved_agree,False,mafic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
10591.0,Porphyry,Precambrian,67.0725,20.9575,felsic,resolved,va,Acid volcanic rocks,volcanic,resolved,high,both_resolved_disagree,False,felsic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
10617.0,VMS,Precambrian,67.785476874728,20.078332900302,felsic,resolved,mt,Metamorphics,metamorphic,resolved,high,both_resolved_disagree,False,felsic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
10618.0,VMS,Precambrian,67.8776890181,20.1402924561,felsic,resolved,mt,Metamorphics,metamorphic,resolved,high,both_resolved_disagree,False,felsic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
10663.0,VMS,Precambrian,64.8467083298,20.2762852907,felsic,resolved,mt,Metamorphics,metamorphic,resolved,high,both_resolved_disagree,False,felsic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
10687.0,VMS,Paleozoic,47.4297222222,-66.4016666667,mafic,resolved,vi,Intermediate volcanic rocks,volcanic,resolved,high,both_resolved_disagree,False,mafic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
10790.0,Sediment-Hosted,Paleozoic,45.9369444444,-64.4769444444,other,other,ss,Siliciclastic sedimentary rocks,siliciclastic,resolved,high,glim_resolves_macrostrat_other,False,siliciclastic,resolved,GLiM_fallback,high,GLiM resolves original Macrostrat other
10867.0,VMS,Precambrian,48.0727777778,-77.7133333333,mafic,resolved,vb,Basic volcanic rocks,volcanic,resolved,high,both_resolved_disagree,False,mafic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
