Deposit_type,Macrostrat_lithology_status,count,group_total,percent_within_group,cohort,status_variable,grouping,continent_country,GLiM_lithology_status,age_status,coordinate_status
Sediment-Hosted,other,10,23,43.47826086956522,coordinate_valid_1237,Macrostrat_lithology_status,Deposit_type × continent_country,Asia,,,
Sediment-Hosted,resolved,13,23,56.52173913043478,coordinate_valid_1237,Macrostrat_lithology_status,Deposit_type × continent_country,Asia,,,
Sediment-Hosted,other,2,11,18.181818181818183,coordinate_valid_1237,Macrostrat_lithology_status,Deposit_type × continent_country,Europe,,,
Sediment-Hosted,resolved,9,11,81.81818181818181,coordinate_valid_1237,Macrostrat_lithology_status,Deposit_type × continent_country,Europe,,,
Sediment-Hosted,other,3,27,11.11111111111111,coordinate_valid_1237,Macrostrat_lithology_status,Deposit_type × continent_country,North America,,,
Sediment-Hosted,resolved,24,27,88.88888888888889,coordinate_valid_1237,Macrostrat_lithology_status,Deposit_type × continent_country,North America,,,
Sediment-Hosted,resolved,14,14,100.0,coordinate_valid_1237,Macrostrat_lithology_status,Deposit_type × continent_country,Oceania,,,
Sediment-Hosted,other,6,10,60.0,coordinate_valid_1237,Macrostrat_lithology_status,Deposit_type × continent_country,South America,,,
Sediment-Hosted,resolved,4,10,40.0,coordinate_valid_1237,Macrostrat_lithology_status,Deposit_type × continent_country,South America,,,
VMS,other,2,2,100.0,coordinate_valid_1237,Macrostrat_lithology_status,Deposit_type × continent_country,Africa,,,
VMS,other,39,90,43.333333333333336,coordinate_valid_1237,Macrostrat_lithology_status,Deposit_type × continent_country,Asia,,,
VMS,resolved,50,90,55.55555555555556,coordinate_valid_1237,Macrostrat_lithology_status,Deposit_type × continent_country,Asia,,,
VMS,unknown,1,90,1.1111111111111112,coordinate_valid_1237,Macrostrat_lithology_status,Deposit_type × continent_country,Asia,,,
VMS,other,6,81,7.407407407407407,coordinate_valid_1237,Macrostrat_lithology_status,Deposit_type × continent_country,Europe,,,
VMS,resolved,75,81,92.5925925925926,coordinate_valid_1237,Macrostrat_lithology_status,Deposit_type × continent_country,Europe,,,
VMS,other,6,139,4.316546762589928,coordinate_valid_1237,Macrostrat_lithology_status,Deposit_type × continent_country,North America,,,
VMS,resolved,132,139,94.96402877697842,coordinate_valid_1237,Macrostrat_lithology_status,Deposit_type × continent_country,North America,,,
VMS,unknown,1,139,0.7194244604316546,coordinate_valid_1237,Macrostrat_lithology_status,Deposit_type × continent_country,North America,,,
VMS,resolved,23,23,100.0,coordinate_valid_1237,Macrostrat_lithology_status,Deposit_type × continent_country,Oceania,,,
VMS,other,4,6,66.66666666666667,coordinate_valid_1237,Macrostrat_lithology_status,Deposit_type × continent_country,South America,,,
VMS,resolved,2,6,33.333333333333336,coordinate_valid_1237,Macrostrat_lithology_status,Deposit_type × continent_country,South America,,,
IOCG,,36,82,43.90243902439025,coordinate_valid_1237,GLiM_lithology_status,Deposit_type,,other,,
IOCG,,46,82,56.09756097560975,coordinate_valid_1237,GLiM_lithology_status,Deposit_type,,resolved,,
Magmatic sulfide,,19,81,23.45679012345679,coordinate_valid_1237,GLiM_lithology_status,Deposit_type,,other,,
Magmatic sulfide,,62,81,76.54320987654322,coordinate_valid_1237,GLiM_lithology_status,Deposit_type,,resolved,,
Porphyry,,186,595,31.26050420168067,coordinate_valid_1237,GLiM_lithology_status,Deposit_type,,other,,
Porphyry,,404,595,67.89915966386555,coordinate_valid_1237,GLiM_lithology_status,Deposit_type,,resolved,,
Porphyry,,5,595,0.8403361344537815,coordinate_valid_1237,GLiM_lithology_status,Deposit_type,,unknown,,
Sediment-Hosted,,35,138,25.36231884057971,coordinate_valid_1237,GLiM_lithology_status,Deposit_type,,other,,
Sediment-Hosted,,102,138,73.91304347826087,coordinate_valid_1237,GLiM_lithology_status,Deposit_type,,resolved,,
Sediment-Hosted,,1,138,0.7246376811594203,coordinate_valid_1237,GLiM_lithology_status,Deposit_type,,unknown,,
VMS,,54,341,15.835777126099707,coordinate_valid_1237,GLiM_lithology_status,Deposit_type,,other,,
VMS,,285,341,83.57771260997067,coordinate_valid_1237,GLiM_lithology_status,Deposit_type,,resolved,,
VMS,,2,341,0.5865102639296188,coordinate_valid_1237,GLiM_lithology_status,Deposit_type,,unknown,,
,,1,78,1.2820512820512822,coordinate_valid_1237,GLiM_lithology_status,continent_country,Africa,other,,
,,77,78,98.71794871794872,coordinate_valid_1237,GLiM_lithology_status,continent_country,Africa,resolved,,
,,132,349,37.82234957020057,coordinate_valid_1237,GLiM_lithology_status,continent_country,Asia,other,,
,,215,349,61.60458452722063,coordinate_valid_1237,GLiM_lithology_status,continent_country,Asia,resolved,,
,,2,349,0.5730659025787965,coordinate_valid_1237,GLiM_lithology_status,continent_country,Asia,unknown,,
,,29,171,16.95906432748538,coordinate_valid_1237,GLiM_lithology_status,continent_country,Europe,other,,
,,138,171,80.70175438596492,coordinate_valid_1237,GLiM_lithology_status,continent_country,Europe,resolved,,
,,4,171,2.3391812865497075,coordinate_valid_1237,GLiM_lithology_status,continent_country,Europe,unknown,,
,,72,366,19.672131147540984,coordinate_valid_1237,GLiM_lithology_status,continent_country,North America,other,,
,,292,366,79.78142076502732,coordinate_valid_1237,GLiM_lithology_status,continent_country,North America,resolved,,
,,2,366,0.546448087431694,coordinate_valid_1237,GLiM_lithology_status,continent_country,North America,unknown,,
,,56,120,46.666666666666664,coordinate_valid_1237,GLiM_lithology_status,continent_country,Oceania,other,,
