Mindat_id,Deposit_type,age_category,litho_class,Latitude_stage0,Longitude_stage0,age_midpoint_ma,Deposit_name,Country,Latitude_main,Longitude_main,lithology_A_class,lithology_A_status,lithology_B_class,lithology_B_status,Latitude,Longitude,coordinate_valid,Country_clean,continent_country,Macrostrat_lithology_status,GLiM_lithology_status,age_status,coordinate_status,Macrostrat_nonresolved,GLiM_nonresolved,age_unknown,coordinate_missing
4496,VMS,Precambrian,volcanic,45.4425,-91.115277777778,1820.0,Flambeau,USA,45.4425,-91.115277777778,volcanic,resolved,metamorphic,resolved,45.4425,-91.115277777778,True,USA,North America,resolved,resolved,resolved,valid,False,False,False,False
4555,Sediment-Hosted,Cenozoic,unknown,0.0,0.0,45.0,Corocoro,Bolivia,0.0,0.0,unknown,unknown,unknown,unknown,0.0,0.0,False,Bolivia,South America,unknown,unknown,resolved,missing_or_invalid,True,True,False,True
5436,Porphyry,Cenozoic,felsic,33.0905555556,-109.366111111,56.0,Morenci-Metcalf,USA,33.0905555556,-109.366111111,felsic,resolved,felsic,resolved,33.0905555556,-109.366111111,True,USA,North America,resolved,resolved,resolved,valid,False,False,False,False
5774,VMS,Paleozoic,felsic,-42.0657812716,145.570973714,502.0,Mount Lyell,Australia,-42.0657812716,145.570973714,felsic,resolved,volcanic,resolved,-42.0657812716,145.570973714,True,Australia,Oceania,resolved,resolved,resolved,valid,False,False,False,False
5792,Porphyry,Cenozoic,other,31.410301572411,97.73015250491,33.0,Yulong,China,31.410301572411,97.73015250491,other,other,other,other,31.410301572411,97.73015250491,True,China,Asia,other,other,resolved,valid,True,True,False,False
5793,Porphyry,Cenozoic,other,31.0166666667,97.9166666667,36.55,Malasongduo,China,31.0166666667,97.9166666667,other,other,other,other,31.0166666667,97.9166666667,True,China,Asia,other,other,resolved,valid,True,True,False,False
5798,Porphyry,Cenozoic,other,27.4,101.133333333,33.55,Xifanping,China,27.4,101.133333333,other,other,other,other,27.4,101.133333333,True,China,Asia,other,other,resolved,valid,True,True,False,False
6001,VMS,Paleozoic,volcanic,44.566012554007,-71.257580934437,470.0,Milan,USA,44.566012554007,-71.257580934437,volcanic,resolved,volcanic,resolved,44.566012554007,-71.257580934437,True,USA,North America,resolved,resolved,resolved,valid,False,False,False,False
6771,VMS,Precambrian,volcanic,49.1552777778,-85.7894444444,2720.0,Geco,Canada,49.1552777778,-85.7894444444,volcanic,resolved,felsic,resolved,49.1552777778,-85.7894444444,True,Canada,North America,resolved,resolved,resolved,valid,False,False,False,False
6926,Porphyry,Mesozoic,carbonate,44.9833333333,21.7833333333,74.005,Ciclova,Romania,44.9833333333,21.7833333333,carbonate,resolved,carbonate,resolved,44.9833333333,21.7833333333,True,Romania,Europe,resolved,resolved,resolved,valid,False,False,False,False
