source,prior_setting,reference_seed,seed,topic,cosine_to_reference_seed
Combined,equal_high,42,7,1,0.999739408493042
Combined,equal_high,42,7,2,0.9984520673751831
Combined,equal_high,42,7,3,0.9999899864196777
Combined,equal_high,42,7,4,0.9996458292007446
Combined,equal_high,42,7,5,0.9994933009147644
Combined,equal_high,42,7,6,0.99956876039505
Combined,equal_high,42,7,7,0.997110903263092
Combined,learned_equal_hyperprior,42,42,1,0.9999999403953552
Combined,learned_equal_hyperprior,42,42,2,1.0000001192092896
Combined,learned_equal_hyperprior,42,42,3,1.0
Combined,learned_equal_hyperprior,42,42,4,1.0
Combined,learned_equal_hyperprior,42,42,5,1.0000001192092896
Combined,learned_equal_hyperprior,42,42,6,0.9999999403953552
Combined,learned_equal_hyperprior,42,42,7,1.0
Combined,learned_equal_hyperprior,42,123,1,0.9981282949447632
Combined,learned_equal_hyperprior,42,123,2,0.9994251728057861
Combined,learned_equal_hyperprior,42,123,3,0.9999842643737793
Combined,learned_equal_hyperprior,42,123,4,0.9992685317993164
Combined,learned_equal_hyperprior,42,123,5,0.9994146227836609
Combined,learned_equal_hyperprior,42,123,6,0.9956956505775452
Combined,learned_equal_hyperprior,42,123,7,0.9986684918403625
Combined,learned_equal_hyperprior,42,7,1,0.9991238117218018
Combined,learned_equal_hyperprior,42,7,2,0.9994584918022156
Combined,learned_equal_hyperprior,42,7,3,0.999993622303009
Combined,learned_equal_hyperprior,42,7,4,0.9989792704582214
Combined,learned_equal_hyperprior,42,7,5,0.9991849064826965
Combined,learned_equal_hyperprior,42,7,6,0.9996788501739502
Combined,learned_equal_hyperprior,42,7,7,0.9988830089569092
