Deposit_type,age_category,Latitude,Longitude,age_midpoint_ma,Mindat_id,Macrostrat_raw_lithology,Macrostrat_evaporite_merged,Macrostrat_model_lithology,GLiM_raw_lithology,GLiM_evaporite_merged,GLiM_model_lithology,Combined_raw_lithology,Combined_evaporite_merged,Combined_model_lithology
VMS,Precambrian,62.4622222222,30.03,2150.0,13132,siliciclastic,False,siliciclastic,metamorphic,False,metamorphic,siliciclastic,False,siliciclastic
Sediment-Hosted,Paleozoic,-35.0919444444,139.004722222,530.0,13473,siliciclastic,False,siliciclastic,siliciclastic,False,siliciclastic,siliciclastic,False,siliciclastic
Sediment-Hosted,Precambrian,-32.0744438171387,138.279724121094,630.0,13474,carbonate,False,carbonate,carbonate,False,carbonate,carbonate,False,carbonate
Sediment-Hosted,Precambrian,-34.3472222222,138.917777778,650.0,13477,carbonate,False,carbonate,other,False,other,carbonate,False,carbonate
Sediment-Hosted,Precambrian,-10.9755555556,25.9002777778,900.0,13482,other,False,other,metamorphic,False,metamorphic,metamorphic,False,metamorphic
Porphyry,Unknown,40.5815094,45.790990633643,,13770,volcanic,False,volcanic,volcanic,False,volcanic,volcanic,False,volcanic
IOCG,Precambrian,28.015,75.775555555556,812.5,13826,other,False,other,other,False,other,other,False,other
Sediment-Hosted,Unknown,40.3236111111,-75.47,,13841,siliciclastic,False,siliciclastic,siliciclastic,False,siliciclastic,siliciclastic,False,siliciclastic
Sediment-Hosted,Precambrian,-12.379562748361,27.828448825423,900.0,13949,volcanic,False,volcanic,metamorphic,False,metamorphic,volcanic,False,volcanic
VMS,Precambrian,65.065722605543,18.564164400013,1890.0,13955,metamorphic,False,metamorphic,volcanic,False,volcanic,metamorphic,False,metamorphic
IOCG,Unknown,-33.9758333333,137.689166667,,13958,metamorphic,False,metamorphic,other,False,other,metamorphic,False,metamorphic
VMS,Mesozoic,24.273273850227,56.433540153503,100.0,14096,other,False,other,mafic,False,mafic,mafic,False,mafic
Porphyry,Cenozoic,19.0777777778,-102.031388889,33.400000000000006,14115,volcanic,False,volcanic,other,False,other,volcanic,False,volcanic
Magmatic sulfide,Precambrian,46.6511111111,-81.3777777778,1840.0,14297,felsic,False,felsic,felsic,False,felsic,felsic,False,felsic
Sediment-Hosted,Precambrian,-11.513835,27.440574,900.0,14351,other,False,other,metamorphic,False,metamorphic,metamorphic,False,metamorphic
VMS,Paleozoic,67.132777777778,16.077222222222,464.5,14413,carbonate,False,carbonate,metamorphic,False,metamorphic,carbonate,False,carbonate
Sediment-Hosted,Paleozoic,-11.0163888889,25.2261111111,381.0,14738,other,False,other,metamorphic,False,metamorphic,metamorphic,False,metamorphic
VMS,Paleozoic,37.573056,-7.970833,370.0,14752,carbonate,False,carbonate,volcanic,False,volcanic,carbonate,False,carbonate
VMS,Paleozoic,49.5980555556,-55.9411111111,500.0,14853,mafic,False,mafic,volcanic,False,volcanic,mafic,False,mafic
Porphyry,Precambrian,22.0166666667,80.7166666667,2468.5,15187,volcanic,False,volcanic,metamorphic,False,metamorphic,volcanic,False,volcanic
Porphyry,Cenozoic,6.0270953261096,116.65560699783,7.0,15213,carbonate,False,carbonate,felsic,False,felsic,carbonate,False,carbonate
Sediment-Hosted,Precambrian,-16.8794444444,30.15,1250.0,15217,volcanic,False,volcanic,metamorphic,False,metamorphic,volcanic,False,volcanic
VMS,Precambrian,49.8738888889,-90.9708333333,2735.0,15806,mafic,False,mafic,volcanic,False,volcanic,mafic,False,mafic
Magmatic sulfide,Unknown,62.0086,32.6768,,15930,volcanic,False,volcanic,felsic,False,felsic,volcanic,False,volcanic
Porphyry,Precambrian,48.5225,-81.1163888889,2475.0,15963,mafic,False,mafic,siliciclastic,False,siliciclastic,mafic,False,mafic
Sediment-Hosted,Paleozoic,-12.083470845877,26.426579394645,510.0,15998,volcanic,False,volcanic,metamorphic,False,metamorphic,volcanic,False,volcanic
Porphyry,Mesozoic,42.601169444444,24.187177777778,90.685,16033,metamorphic,False,metamorphic,other,False,other,metamorphic,False,metamorphic
Sediment-Hosted,Precambrian,-12.513055555556,27.854166666667,900.0,16144,volcanic,False,volcanic,metamorphic,False,metamorphic,volcanic,False,volcanic
Porphyry,Unknown,47.51152,-121.3498,,16242,felsic,False,felsic,felsic,False,felsic,felsic,False,felsic
Magmatic sulfide,Unknown,47.7083333333,-91.9416666667,,16397,felsic,False,felsic,felsic,False,felsic,felsic,False,felsic
Sediment-Hosted,Precambrian,-16.933055555556,30.15,2118.0,16404,volcanic,False,volcanic,metamorphic,False,metamorphic,volcanic,False,volcanic
