Deposit_type,age_category,Latitude,Longitude,Mindat_id,mapped_species_count,present_family_count
Sediment-Hosted,Precambrian,-12.513055555556,27.854166666667,16144,20,15.0
Porphyry,Unknown,47.51152,-121.3498,16242,50,22.0
Magmatic sulfide,Unknown,47.7083333333,-91.9416666667,16397,45,18.0
Sediment-Hosted,Precambrian,-16.933055555556,30.15,16404,9,8.0
Porphyry,Cenozoic,22.123619596776,95.03357505746,16510,16,12.0
Magmatic sulfide,Precambrian,46.5177777778,-81.0588888889,16722,14,7.0
VMS,Paleozoic,47.5252777778,-66.4316666667,16723,22,14.0
VMS,Paleozoic,-31.25874246,146.8696319,16762,28,16.0
IOCG,Paleozoic,19.2366666667,109.043333333,17046,48,19.0
Sediment-Hosted,Precambrian,-13.4608742,24.9932957,17053,12,9.0
VMS,Precambrian,65.230748903939,18.88184022886,17055,48,19.0
Sediment-Hosted,Unknown,-22.978311,17.077479,17154,12,8.0
Porphyry,Cenozoic,-5.2080348283979,141.13899815844,17175,32,19.0
VMS,Paleozoic,33.5138888889,132.655555556,17373,9,7.0
VMS,Precambrian,54.962555555556,-99.728194444444,17460,23,13.0
VMS,Mesozoic,15.55,-89.7166666667,17539,15,12.0
VMS,Paleozoic,-35.062222222222,149.57027777778,17692,34,21.0
Porphyry,Cenozoic,48.1975,-120.978888889,17816,28,20.0
Porphyry,Unknown,47.4966666667,-121.36,18255,22,15.0
Porphyry,Cenozoic,48.0086111111,-121.503611111,18270,23,18.0
Magmatic sulfide,Precambrian,-21.9469444444,27.8552777778,18379,17,9.0
Porphyry,Mesozoic,30.3333333333,-109.633333333,18441,18,13.0
VMS,Precambrian,64.8256136963,20.2283273935,18571,16,12.0
VMS,Precambrian,65.375332040886,18.641685962502,18578,10,6.0
VMS,Precambrian,64.9232070708,20.0928840623,18580,10,9.0
VMS,Precambrian,64.9391649158,20.0698227881,18581,15,12.0
VMS,Precambrian,64.922144814,20.2669007776,18583,28,17.0
VMS,Paleozoic,48.462462,-3.6091719999999,18672,25,13.0
VMS,Paleozoic,51.6333333333,81.75,18705,3,2.0
VMS,Mesozoic,35.097000904691,32.890835189352,18790,26,12.0
IOCG,Unknown,63.7583,-116.9167,18837,26,16.0
VMS,Precambrian,-28.408309962785,121.14965749495,18839,47,21.0
Magmatic sulfide,Unknown,-17.06367713504,31.655559539795,18963,9,5.0
Sediment-Hosted,Precambrian,0.20487741679014,30.002605319023,19036,20,15.0
IOCG,Unknown,-20.9522349734,140.980773926,19062,20,14.0
Sediment-Hosted,Precambrian,-32.1075,138.77,19089,6,5.0
VMS,Paleozoic,-41.588229072894,145.71030842773,19265,15,14.0
VMS,Paleozoic,50.357467942368,83.540028127001,19429,45,21.0
VMS,Paleozoic,45.229721069336,-116.66889190674,19493,19,15.0
Porphyry,Cenozoic,50.9238888889,-121.421111111,19949,14,10.0
VMS,Precambrian,56.475,-99.6372222222,19966,21,14.0
VMS,Precambrian,23.851570017734,40.939985211657,19975,26,16.0
Sediment-Hosted,Precambrian,-10.677777777778,25.535277777778,20111,34,18.0
VMS,Paleozoic,48.291666666667,86.333333333333,20269,33,22.0
Porphyry,Mesozoic,39.04741,-119.2407,21099,18,12.0
Magmatic sulfide,Unknown,41.1666666667,117.383333333,21132,19,11.0
Porphyry,Cenozoic,16.2627777778,120.6225,21538,37,18.0
Porphyry,Cenozoic,29.945,55.8619444444,21589,61,22.0
VMS,Paleozoic,33.9038888889,133.541666667,21603,15,11.0
VMS,Precambrian,54.719166666667,-101.82527777778,21605,14,12.0
Magmatic sulfide,Precambrian,-19.776944444444,29.365833333333,21638,4,3.0
VMS,Mesozoic,41.041111111111,40.76,21755,35,20.0
Magmatic sulfide,Unknown,22.75,33.6,22091,38,17.0
Porphyry,Mesozoic,48.9947222222,-119.477777778,22183,17,12.0
Porphyry,Mesozoic,48.6144444444,-120.381944444,22204,22,16.0
Sediment-Hosted,Mesozoic,38.3108333333,-108.948888889,22531,29,17.0
Sediment-Hosted,Unknown,34.5166666667,-99.55,22701,20,13.0
Porphyry,Cenozoic,31.8708333333,-111.133333333,22945,21,16.0
VMS,Mesozoic,-54.829694444444,-68.395836111111,22987,10,7.0
VMS,Paleozoic,64.626159,13.102498,23128,14,11.0
VMS,Paleozoic,37.638611111111,-6.8569444444444,23197,24,12.0
Porphyry,Cenozoic,-29.0,-67.75,23362,43,19.0
VMS,Precambrian,54.856080555556,-99.941711111111,23365,18,11.0
VMS,Mesozoic,41.36028851,44.44438468,23547,30,16.0
Sediment-Hosted,Unknown,-12.5419553,27.8545867,24511,24,16.0
