analysis,run_stem,likelihood,source,prior_setting,seed,run_mode,n_deposits,n_families,n_steps,sigma_litho,sigma_age,elapsed_seconds,omega_a,kappa,elbo_mean_last_100,elbo_mean_last_100_per_deposit,log_prob_total,log_prob_mean_per_deposit,log_prob_per_present_family,log_prob_per_binary_cell,mean_topic_cosine_to_binary_lda,minimum_topic_cosine_to_binary_lda,lithology_effect_weighted_nonmissing,age_effect_weighted_nonmissing,ratio_weighted_nonmissing_primary,lithology_effect_weighted_strict,age_effect_weighted_strict,ratio_weighted_strict,tau_mean,tau_median,count_reference_available,count_topic_cosine_mean,count_topic_cosine_min,count_top10_jaccard_mean,count_top10_jaccard_min,dominant_topic_agreement_with_count,mean_absolute_theta_difference_from_count,count_ratio_weighted_nonmissing_primary,count_ratio_weighted_strict
presence_absence_sensitivity,presence_absence__bernoulli__macrostrat__original__seed_7,bernoulli,Macrostrat,original,7,full,1237,35,5000,0.3,0.15,152.8094458580017,0.448654039647182,,-21197.786955251097,-17.136448629952383,-20611.735011430683,-16.66267987989546,-1.3853834528451863,-0.4760765679970131,0.8092543636611694,0.4581713557282042,0.006376627993653057,0.0015409306541359275,4.138166747827294,0.006040660145714186,0.0015409306541359275,3.920137567190828,0.22101378440856934,0.21607229113578796,1.0,0.5388069536004748,0.23521438241004944,0.37495808039815115,0.05263157894736842,0.26839126919967665,0.15279974043369293,4.404303624924801,4.319605455301047
presence_absence_sensitivity,presence_absence__bernoulli__macrostrat__equal_high__seed_42,bernoulli,Macrostrat,equal_high,42,full,1237,35,5000,0.3,0.3,151.1126630306244,0.31568677177733734,,-21192.540845280884,-17.132207635635314,-20616.647141709473,-16.666650882546058,-1.3857136135037957,-0.4761900252156016,0.8073294035489329,0.4640063341864989,0.006287806114626799,0.0015015145121793812,4.187642585951654,0.00586808126008268,0.0015015145121793812,3.9081082550214066,0.22073698043823242,0.21441048383712769,1.0,0.5437733275549752,0.2432708740234375,0.37495808039815115,0.05263157894736842,0.32983023443815684,0.14745739102363586,3.95412847280181,3.923954563008385
presence_absence_sensitivity,presence_absence__bernoulli__macrostrat__equal_high__seed_123,bernoulli,Macrostrat,equal_high,123,full,1237,35,5000,0.3,0.3,149.42329812049866,0.3271373106164601,,-21194.554385582207,-17.133835396590303,-20612.782265173817,-16.6635264876102,-1.3854538422619853,-0.4761007567888628,0.808390174063075,0.45955944681068134,0.006342529672903088,0.001690042530686629,3.752881692466195,0.00605141747699574,0.001690042530686629,3.5806302901366482,0.22399590909481049,0.21740056574344635,1.0,0.5431702605315617,0.2375352382659912,0.37495808039815115,0.05263157894736842,0.3556992724333064,0.15017519891262054,3.970483306629519,3.8908769090026296
presence_absence_sensitivity,presence_absence__bernoulli__macrostrat__equal_high__seed_7,bernoulli,Macrostrat,equal_high,7,full,1237,35,5000,0.3,0.3,153.35311436653137,0.34314079205659354,,-21191.823348010777,-17.131627605505884,-20611.801129868727,-16.662733330532518,-1.3853878968859206,-0.476078095158072,0.8079379290176149,0.462648997227227,0.006094641429994271,0.0017352462509060624,3.5122631308449397,0.005774277458400574,0.0017352462509060624,3.327641512197778,0.2209017276763916,0.2132270187139511,1.0,0.5442645762647901,0.242055743932724,0.41306563111074385,0.05263157894736842,0.36863379143088115,0.14618678390979767,3.9792064282497535,3.870870402428246
presence_absence_sensitivity,presence_absence__bernoulli__glim__original__seed_42,bernoulli,GLiM,original,42,full,1237,35,5000,0.3,0.15,152.73476266860962,0.4049829812528479,,-21208.59863145411,-17.145188869405104,-20620.049354441828,-16.669401256622333,-1.3859422875683445,-0.4762686073320667,0.8208674344684602,0.4720043220909731,0.006280644733134424,0.0014122079646094116,4.447393649186453,0.006053971434696546,0.0014122079646094116,4.286883792197669,0.22191007435321808,0.22582753002643585,1.0,0.541246086359024,0.21824036538600922,0.47575953458306397,0.17647058823529413,0.6313662085691188,0.11963894218206406,4.084690937932102,4.003831093026326
presence_absence_sensitivity,presence_absence__bernoulli__glim__original__seed_123,bernoulli,GLiM,original,123,full,1237,35,5000,0.3,0.15,154.6308741569519,0.42737281918930237,,-21207.418181387486,-17.144234584791825,-20622.119490949273,-16.67107477037128,-1.3860814283471752,-0.476316422010608,0.821886026358072,0.4717617128968862,0.006389178065893803,0.0015453741972673869,4.13438898953502,0.006226108091072343,0.0015453741972673869,4.028867637418614,0.22259876132011414,0.22076041996479034,1.0,0.5408827321869987,0.22429312765598297,0.48841634555920266,0.3333333333333333,0.6580436540016168,0.11814941465854645,3.827041632482546,3.7366115022077304
presence_absence_sensitivity,presence_absence__bernoulli__glim__original__seed_7,bernoulli,GLiM,original,7,full,1237,35,5000,0.3,0.15,149.07068920135498,0.455399097877301,,-21207.108791209757,-17.143984471471104,-20623.660152258206,-16.672320252431856,-1.3861849813320477,-0.4763520072123387,0.8231393197703193,0.47890985043982737,0.006463947105755692,0.001564606755910587,4.131355742480949,0.006129240344915299,0.001564606755910587,3.9174318542093576,0.22158513963222504,0.2265205830335617,1.0,0.5425153161798205,0.22722914814949036,0.4416057184743606,0.05263157894736842,0.6459175424413904,0.12221450358629227,4.04498594135059,3.7401179741711084
presence_absence_sensitivity,presence_absence__bernoulli__glim__equal_high__seed_42,bernoulli,GLiM,equal_high,42,full,1237,35,5000,0.3,0.3,148.16500425338745,0.2757232905336602,,-21205.370823378562,-17.142579485350495,-20622.92851921869,-16.671728794841304,-1.3861358058353737,-0.4763351084240372,0.8217256547242066,0.46437022563473135,0.006080298064666079,0.0013312956983215893,4.567203268463739,0.005889930471960447,0.0013312956983215893,4.424209046409515,0.21851593255996704,0.21897834539413452,1.0,0.5483627255473819,0.2195032387971878,0.45257636854275507,0.1111111111111111,0.7364591754244139,0.11727569997310638,2.406143141843829,2.3650358271382816
presence_absence_sensitivity,presence_absence__bernoulli__glim__equal_high__seed_123,bernoulli,GLiM,equal_high,123,full,1237,35,5000,0.3,0.3,148.55431389808655,0.3057716557815951,,-21204.66096075058,-17.14200562712254,-20623.978207873995,-16.67257737095715,-1.3862063589107403,-0.47635935345591857,0.822654423838472,0.47099268887087875,0.00613975070342664,0.0013735757320506093,4.469903304319897,0.005904815343824653,0.0013735757320506093,4.298864056814226,0.21598537266254425,0.21164317429065704,1.0,0.5467136225530079,0.22309455275535583,0.4698012071961651,0.17647058823529413,0.5901374292643492,0.11887006461620331,2.4052654836595777,2.2977297187580565
presence_absence_sensitivity,presence_absence__bernoulli__glim__equal_high__seed_7,bernoulli,GLiM,equal_high,7,full,1237,35,5000,0.3,0.3,148.37009692192078,0.3006535532669856,,-21203.705775637627,-17.141233448373182,-20621.971101890085,-16.67095481155221,-1.386071454623611,-0.4763129946157775,0.8248069746098766,0.49131396982272296,0.006247026712820843,0.0014713674648607403,4.245728454660442,0.005840938627504161,0.0014713674648607403,3.969734799088401,0.2203451246023178,0.22157907485961914,1.0,0.5500537199633462,0.2226891815662384,0.47877915735058585,0.1111111111111111,0.6612772837510105,0.11789223551750183,2.4311342359566597,2.3293136952269897
