source,seed,topic,rank,trimmed_family,full_family,same_at_rank
Macrostrat,123,5,2,Cu_sulfides_primary,Fe_sulfides,False
Macrostrat,123,5,3,Fe_sulfides,Zn_sulfides,False
Macrostrat,123,5,4,Evaporite_sulfates,Cu_sulfides_other,False
Macrostrat,123,5,5,Skarn_calc_silicates,Au_Ag_native,False
Macrostrat,123,5,6,Feldspars,Sulfates_other,False
Macrostrat,123,5,7,Carbonates,Clay_minerals,False
Macrostrat,123,5,8,Mo_sulfides,Cu_sulfides_supergene,False
Macrostrat,123,5,9,Au_Ag_native,Evaporite_sulfates,False
Macrostrat,123,5,10,Ti_oxides,Pb_sulfides,False
Macrostrat,123,6,1,Barite,Fe_sulfides,False
Macrostrat,123,6,2,Fe_sulfides,Barite,False
Macrostrat,123,6,3,Zn_sulfides,As_Sb_Bi_sulfosalts,False
Macrostrat,123,6,4,Pb_sulfides,Zn_sulfides,False
Macrostrat,123,6,5,Sulfates_other,Cu_sulfides_other,False
Macrostrat,123,6,6,Micas_sericite,Sulfides_misc,False
Macrostrat,123,6,7,Sulfides_misc,Au_Ag_native,False
Macrostrat,123,6,8,Quartz,Micas_sericite,False
Macrostrat,123,6,9,Other_silicates,Pb_sulfides,False
Macrostrat,123,6,10,Cu_sulfides_other,Other_silicates,False
Macrostrat,123,7,1,Halides_fluorite,Oxides_misc,False
Macrostrat,123,7,2,Cu_sulfides_other,Zn_sulfides,False
Macrostrat,123,7,3,Au_Ag_native,Halides_fluorite,False
Macrostrat,123,7,4,Fe_sulfides,Mo_sulfides,False
Macrostrat,123,7,5,Mo_sulfides,Cu_sulfides_primary,False
Macrostrat,123,7,6,Ti_oxides,Feldspars,False
Macrostrat,123,7,7,As_Sb_Bi_sulfosalts,Fe_oxides_hydroxides,False
Macrostrat,123,7,8,Feldspars,Native_elements_misc,False
Macrostrat,123,7,9,Oxides_misc,Quartz,False
Macrostrat,123,7,10,Pb_sulfides,Halides_other,False
Macrostrat,7,1,1,Cu_sulfides_primary,Cu_sulfides_primary,True
Macrostrat,7,1,2,Fe_sulfides,Fe_sulfides,True
Macrostrat,7,1,3,Zn_sulfides,Zn_sulfides,True
Macrostrat,7,1,4,Fe_oxides_hydroxides,Quartz,False
Macrostrat,7,1,5,Quartz,Fe_oxides_hydroxides,False
Macrostrat,7,1,6,Pb_sulfides,Pb_sulfides,True
Macrostrat,7,1,7,Carbonates,Ni_Co_sulfides_arsenides,False
Macrostrat,7,1,8,Ni_Co_sulfides_arsenides,Carbonates,False
