Mindat_id,Deposit_type,age_category,Macrostrat_model_lithology,GLiM_model_lithology,mapped_species_count,present_family_count,Mindat_id,documentation_rank_within_type,documentation_percentile_within_type,remove_top_documented
155678,Sediment-Hosted,Precambrian,mafic,siliciclastic,20,13.0,155678,32,0.2318840579710145,False
155764,Porphyry,Paleozoic,other,other,44,26.0,155764,42,0.07058823529411765,True
155865,Magmatic sulfide,Paleozoic,other,other,14,8.0,155865,58,0.7160493827160493,False
155867,Porphyry,Mesozoic,volcanic,other,17,12.0,155867,280,0.47058823529411764,False
155898,Porphyry,Cenozoic,other,felsic,11,9.0,155898,401,0.6739495798319328,False
155979,Porphyry,Cenozoic,felsic,volcanic,9,8.0,155979,454,0.7630252100840336,False
156937,VMS,Paleozoic,siliciclastic,metamorphic,20,14.0,156937,111,0.3255131964809384,False
157684,Magmatic sulfide,Precambrian,mafic,siliciclastic,17,9.0,157684,47,0.5802469135802469,False
15806,VMS,Precambrian,mafic,volcanic,20,9.0,15806,117,0.34310850439882695,False
158068,Porphyry,Cenozoic,siliciclastic,siliciclastic,54,19.0,158068,23,0.03865546218487395,True
158668,VMS,Paleozoic,carbonate,other,14,5.0,158668,186,0.5454545454545454,False
158696,Porphyry,Cenozoic,felsic,volcanic,16,15.0,158696,288,0.48403361344537815,False
158934,IOCG,Unknown,other,other,18,14.0,158934,51,0.6219512195121951,False
158941,IOCG,Unknown,volcanic,volcanic,16,12.0,158941,57,0.6951219512195121,False
15930,Magmatic sulfide,Unknown,volcanic,felsic,4,4.0,15930,73,0.9012345679012346,False
159565,VMS,Cenozoic,volcanic,volcanic,19,14.0,159565,120,0.3519061583577713,False
15963,Porphyry,Precambrian,mafic,siliciclastic,19,15.0,15963,232,0.3899159663865546,False
15998,Sediment-Hosted,Paleozoic,volcanic,metamorphic,80,26.0,15998,3,0.021739130434782608,True
16033,Porphyry,Mesozoic,metamorphic,other,40,23.0,16033,61,0.10252100840336134,False
16144,Sediment-Hosted,Precambrian,volcanic,metamorphic,20,15.0,16144,28,0.2028985507246377,False
162015,Porphyry,Cenozoic,carbonate,siliciclastic,17,13.0,162015,274,0.46050420168067224,False
16242,Porphyry,Unknown,felsic,felsic,50,22.0,16242,29,0.04873949579831933,True
163,Sediment-Hosted,Precambrian,carbonate,other,36,16.0,163,12,0.08695652173913043,True
163419,Sediment-Hosted,Unknown,carbonate,siliciclastic,9,5.0,163419,88,0.6376811594202898,False
16397,Magmatic sulfide,Unknown,felsic,felsic,45,18.0,16397,14,0.1728395061728395,False
16404,Sediment-Hosted,Precambrian,volcanic,metamorphic,9,8.0,16404,84,0.6086956521739131,False
164790,Sediment-Hosted,Precambrian,carbonate,siliciclastic,24,14.0,164790,22,0.15942028985507245,False
16510,Porphyry,Cenozoic,other,other,16,12.0,16510,295,0.4957983193277311,False
1666,VMS,Precambrian,siliciclastic,metamorphic,34,14.0,1666,41,0.12023460410557185,False
166723,Magmatic sulfide,Unknown,felsic,felsic,25,12.0,166723,33,0.4074074074074074,False
16722,Magmatic sulfide,Precambrian,mafic,volcanic,14,7.0,16722,59,0.7283950617283951,False
16723,VMS,Paleozoic,mafic,volcanic,22,14.0,16723,96,0.28152492668621704,False
16762,VMS,Paleozoic,volcanic,other,28,16.0,16762,62,0.18181818181818182,False
