Mindat_id,Deposit_type,age_category,Latitude,Longitude,age_midpoint_ma,Macrostrat_raw_lithology,Macrostrat_model_lithology,GLiM_raw_lithology,GLiM_model_lithology
11605,VMS,Paleozoic,31.364692687987,-8.0559644848108,350.0,other,other,siliciclastic,siliciclastic
11734,VMS,Cenozoic,40.1669444444,140.832777778,14.15,volcanic,volcanic,volcanic,volcanic
11777,VMS,Paleozoic,47.2908333333,-66.0805555556,464.5,mafic,mafic,volcanic,volcanic
11803,VMS,Paleozoic,-41.8402208296,145.516600589,518.0,felsic,felsic,volcanic,volcanic
11824,VMS,Mesozoic,55.4333333333,-129.816666667,240.0,volcanic,volcanic,other,other
11886,VMS,Precambrian,-25.453766666667,118.57144444444,1800.0,metamorphic,metamorphic,other,other
11952,Magmatic sulfide,Unknown,-25.541142,27.184777,,mafic,mafic,mafic,mafic
11973,Porphyry,Cenozoic,18.8808333333,-101.640833333,36.0,volcanic,volcanic,felsic,felsic
12048,VMS,Precambrian,60.194208643377,23.363960814819,1800.0,siliciclastic,siliciclastic,metamorphic,metamorphic
12053,VMS,Precambrian,61.71,23.25,1900.0,felsic,felsic,volcanic,volcanic
12054,Porphyry,Precambrian,63.7708333333,25.2338888889,1850.0,siliciclastic,siliciclastic,metamorphic,metamorphic
12057,Porphyry,Mesozoic,50.6,-127.477777778,171.0,mafic,mafic,volcanic,volcanic
13126,VMS,Precambrian,63.6833333333,25.9833333333,1520.5,siliciclastic,siliciclastic,felsic,felsic
13132,VMS,Precambrian,62.4622222222,30.03,2150.0,siliciclastic,siliciclastic,metamorphic,metamorphic
13474,Sediment-Hosted,Precambrian,-32.0744438171387,138.279724121094,630.0,carbonate,carbonate,carbonate,carbonate
13477,Sediment-Hosted,Precambrian,-34.3472222222,138.917777778,650.0,carbonate,carbonate,other,other
13482,Sediment-Hosted,Precambrian,-10.9755555556,25.9002777778,900.0,other,other,metamorphic,metamorphic
13949,Sediment-Hosted,Precambrian,-12.379562748361,27.828448825423,900.0,volcanic,volcanic,metamorphic,metamorphic
13955,VMS,Precambrian,65.065722605543,18.564164400013,1890.0,metamorphic,metamorphic,volcanic,volcanic
13958,IOCG,Unknown,-33.9758333333,137.689166667,,metamorphic,metamorphic,other,other
14096,VMS,Mesozoic,24.273273850227,56.433540153503,100.0,other,other,mafic,mafic
14115,Porphyry,Cenozoic,19.0777777778,-102.031388889,33.400000000000006,volcanic,volcanic,other,other
14297,Magmatic sulfide,Precambrian,46.6511111111,-81.3777777778,1840.0,felsic,felsic,felsic,felsic
14351,Sediment-Hosted,Precambrian,-11.513835,27.440574,900.0,other,other,metamorphic,metamorphic
