Mindat_id,Latitude,Longitude,lithology_A_class,lithology_A_status,lithology_B_class,lithology_B_status,lithology_B_confidence,glim_level1_code,glim_level1_description,lithology_C_class,lithology_C_status,lithology_C_source,lithology_C_confidence,macrostrat_class,macrostrat_status,glim_model_class,glim_status,agreement_status,coordinate_valid
275332,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
276086,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
279364,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
280334,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
290390,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
295017,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
295917,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
341109,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
359845,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
424355,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
435447,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
446953,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
448213,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
