Mindat_id,n_minerals_total,n_minerals_mapped,n_families_primary,n_families_copper,pct_mapped
28584.0,5,5,2,5,100.0
28588.0,29,29,6,17,100.0
28719.0,25,25,5,10,100.0
28720.0,5,5,2,4,100.0
28721.0,7,7,4,5,100.0
28722.0,12,12,6,9,100.0
28723.0,16,16,4,11,100.0
28724.0,20,20,6,12,100.0
29703.0,25,25,8,15,100.0
30204.0,45,45,8,25,100.0
30621.0,19,19,6,13,100.0
30641.0,14,14,5,10,100.0
30673.0,90,90,9,26,100.0
30976.0,11,11,4,9,100.0
32000.0,9,9,5,8,100.0
32440.0,54,54,8,22,100.0
32562.0,21,21,6,13,100.0
32728.0,18,18,7,13,100.0
32750.0,35,35,8,18,100.0
32790.0,20,20,6,17,100.0
33114.0,20,20,6,14,100.0
33127.0,20,20,6,15,100.0
33179.0,12,12,4,8,100.0
33219.0,2,2,1,1,100.0
33241.0,15,15,4,10,100.0
33954.0,18,18,6,13,100.0
34420.0,9,9,3,6,100.0
34428.0,33,33,5,13,100.0
34975.0,33,33,6,19,100.0
35613.0,13,13,3,8,100.0
36285.0,18,18,8,12,100.0
36363.0,20,20,6,14,100.0
36818.0,33,33,7,23,100.0
37411.0,15,15,5,11,100.0
37441.0,31,31,8,20,100.0
37499.0,27,27,8,17,100.0
38508.0,38,38,7,16,100.0
39272.0,56,56,9,27,100.0
39273.0,79,79,9,30,100.0
39275.0,29,29,7,19,100.0
41271.0,21,21,6,10,100.0
41272.0,3,3,2,3,100.0
41275.0,12,12,4,9,100.0
42054.0,18,18,6,13,100.0
42058.0,11,11,4,9,100.0
42400.0,14,14,5,7,100.0
43252.0,25,25,9,19,100.0
43582.0,42,42,7,22,100.0
43585.0,9,9,4,9,100.0
43642.0,80,80,9,31,100.0
44003.0,54,54,7,16,100.0
44061.0,19,19,7,13,100.0
44124.0,25,25,8,19,100.0
44460.0,17,17,5,12,100.0
44769.0,21,21,5,17,100.0
45680.0,13,13,5,10,100.0
45788.0,5,5,2,5,100.0
45790.0,7,7,4,6,100.0
45920.0,5,5,2,4,100.0
46163.0,29,29,6,19,100.0
46287.0,6,6,4,6,100.0
46329.0,19,19,5,16,100.0
46331.0,35,35,7,21,100.0
46414.0,8,8,4,7,100.0
46421.0,43,43,8,22,100.0
46430.0,1,1,1,1,100.0
46432.0,52,52,8,21,100.0
46745.0,13,13,6,10,100.0
46971.0,35,35,8,18,100.0
46972.0,28,28,6,16,100.0
47606.0,20,20,7,17,100.0
47837.0,14,14,4,11,100.0
47950.0,23,23,5,11,100.0
48271.0,12,12,4,9,100.0
48424.0,13,13,4,11,100.0
48983.0,45,45,6,17,100.0
49888.0,6,6,5,5,100.0
50665.0,17,17,7,14,100.0
50863.0,31,31,8,20,100.0
51058.0,29,29,7,19,100.0
51825.0,17,17,5,11,100.0
52166.0,83,83,7,22,100.0
52775.0,23,23,6,17,100.0
53487.0,26,26,7,16,100.0
53669.0,7,7,3,7,100.0
54260.0,10,10,4,5,100.0
54489.0,14,14,4,10,100.0
54518.0,30,30,7,13,100.0
55427.0,33,33,7,18,100.0
55597.0,31,31,8,18,100.0
55929.0,6,6,4,5,100.0
56211.0,70,70,8,26,100.0
56299.0,10,10,2,2,100.0
56379.0,4,4,2,3,100.0
56760.0,36,36,6,12,100.0
56940.0,12,12,6,11,100.0
58352.0,33,33,6,20,100.0
58783.0,22,22,6,15,100.0
59571.0,10,10,5,9,100.0
60100.0,17,17,6,13,100.0
60101.0,11,11,4,9,100.0
60113.0,53,53,9,27,100.0
60164.0,31,31,8,19,100.0
61612.0,33,33,8,21,100.0
62248.0,54,54,7,24,100.0
62514.0,15,15,5,11,100.0
63180.0,9,9,4,7,100.0
63563.0,32,32,8,19,100.0
64183.0,44,44,8,26,100.0
64292.0,45,45,7,23,100.0
64347.0,11,11,4,9,100.0
64578.0,7,7,4,7,100.0
64759.0,34,34,6,18,100.0
65223.0,13,13,6,10,100.0
65283.0,23,23,5,14,100.0
65285.0,30,30,8,19,100.0
66391.0,10,10,3,7,100.0
66858.0,18,18,6,12,100.0
66898.0,4,4,1,3,100.0
68115.0,16,16,5,9,100.0
68188.0,11,11,6,9,100.0
68257.0,43,43,8,25,100.0
68700.0,15,15,7,13,100.0
69552.0,15,15,4,12,100.0
71511.0,3,3,1,2,100.0
73136.0,3,3,2,3,100.0
73233.0,51,51,7,22,100.0
73255.0,26,26,8,17,100.0
75449.0,3,3,2,3,100.0
81928.0,7,7,3,7,100.0
84746.0,7,7,2,4,100.0
85223.0,3,3,2,3,100.0
86332.0,34,34,7,18,100.0
92443.0,13,13,5,12,100.0
92495.0,16,16,4,11,100.0
93923.0,10,10,4,9,100.0
98618.0,4,4,2,4,100.0
105730.0,3,3,3,3,100.0
105775.0,3,3,3,3,100.0
107252.0,37,37,9,20,100.0
107981.0,3,3,3,3,100.0
108083.0,6,6,2,6,100.0
108163.0,34,34,8,18,100.0
108197.0,24,24,6,14,100.0
108673.0,2,2,1,2,100.0
109677.0,28,28,6,16,100.0
109688.0,9,9,3,8,100.0
114858.0,24,24,8,18,100.0
122228.0,31,31,6,20,100.0
122266.0,37,37,8,20,100.0
122759.0,29,29,6,10,100.0
122767.0,30,30,8,13,100.0
122804.0,34,34,8,23,100.0
122928.0,46,46,7,24,100.0
122945.0,10,10,3,7,100.0
122949.0,19,19,5,11,100.0
122950.0,17,17,5,13,100.0
122951.0,10,10,4,8,100.0
123105.0,8,8,4,6,100.0
123423.0,19,19,3,8,100.0
123464.0,42,42,8,22,100.0
123470.0,58,58,9,27,100.0
124002.0,8,8,3,6,100.0
125608.0,7,7,1,4,100.0
126508.0,15,15,5,10,100.0
126948.0,4,4,4,4,100.0
127294.0,43,43,9,19,100.0
127444.0,24,24,8,19,100.0
131133.0,21,21,7,14,100.0
131315.0,15,15,5,13,100.0
131316.0,31,31,7,20,100.0
132210.0,7,7,3,7,100.0
132305.0,5,5,4,4,100.0
132814.0,6,6,2,6,100.0
133117.0,16,16,6,14,100.0
134565.0,18,18,4,13,100.0
134575.0,30,30,7,21,100.0
134576.0,73,73,8,25,100.0
134599.0,33,33,6,16,100.0
134605.0,23,23,6,14,100.0
134676.0,39,39,9,24,100.0
134745.0,22,22,6,14,100.0
134936.0,66,66,8,27,100.0
135092.0,9,9,5,8,100.0
135234.0,6,6,1,4,100.0
135235.0,28,28,7,18,100.0
135237.0,46,46,7,20,100.0
135298.0,41,41,8,24,100.0
135329.0,21,21,7,17,100.0
136123.0,4,4,1,4,100.0
142172.0,18,18,5,14,100.0
142173.0,21,21,7,14,100.0
142174.0,10,10,3,9,100.0
142175.0,2,2,1,2,100.0
142183.0,13,13,4,11,100.0
142185.0,22,22,7,15,100.0
142186.0,3,3,2,3,100.0
142187.0,2,2,1,2,100.0
142189.0,10,10,4,9,100.0
142195.0,13,13,4,10,100.0
142196.0,2,2,1,2,100.0
142198.0,2,2,1,2,100.0
142686.0,18,18,4,15,100.0
142687.0,33,33,7,21,100.0
142688.0,14,14,4,12,100.0
142689.0,12,12,4,11,100.0
142690.0,13,13,4,12,100.0
142691.0,15,15,6,12,100.0
142692.0,35,35,7,20,100.0
142695.0,24,24,7,18,100.0
142696.0,32,32,7,20,100.0
142697.0,29,29,7,19,100.0
142698.0,29,29,6,19,100.0
142699.0,29,29,6,17,100.0
142700.0,32,32,6,19,100.0
142703.0,15,15,6,13,100.0
143447.0,16,16,7,15,100.0
143624.0,32,32,5,16,100.0
143633.0,4,4,1,3,100.0
143648.0,16,16,4,8,100.0
143685.0,4,4,1,3,100.0
143718.0,23,23,7,17,100.0
143888.0,19,19,6,13,100.0
143892.0,27,27,7,20,100.0
143975.0,77,77,7,22,100.0
144051.0,44,44,6,16,100.0
144055.0,37,37,8,22,100.0
144069.0,17,17,4,12,100.0
144070.0,3,3,1,3,100.0
144071.0,11,11,3,5,100.0
144072.0,6,6,3,5,100.0
144073.0,41,41,6,18,100.0
144081.0,7,7,2,5,100.0
144083.0,31,31,7,16,100.0
144270.0,26,26,5,15,100.0
144272.0,32,32,7,18,100.0
144450.0,21,21,5,12,100.0
144548.0,38,38,9,22,100.0
144713.0,15,15,3,9,100.0
144903.0,18,18,6,12,100.0
144955.0,23,23,8,18,100.0
144957.0,26,26,5,16,100.0
144964.0,13,13,4,10,100.0
144966.0,8,8,3,7,100.0
145027.0,14,14,4,10,100.0
145060.0,12,12,5,9,100.0
145237.0,17,17,6,15,100.0
145877.0,49,49,9,22,100.0
145879.0,42,42,8,22,100.0
145884.0,28,28,7,16,100.0
146259.0,15,15,4,10,100.0
146855.0,41,41,7,23,100.0
146933.0,49,49,9,24,100.0
147060.0,3,3,2,3,100.0
147067.0,7,7,2,5,100.0
147142.0,5,5,2,5,100.0
147151.0,19,19,6,13,100.0
153539.0,28,28,6,14,100.0
155467.0,17,17,6,12,100.0
155468.0,14,14,6,10,100.0
155526.0,47,47,6,14,100.0
155653.0,13,13,5,10,100.0
155678.0,20,20,6,13,100.0
155764.0,44,44,8,26,100.0
155865.0,14,14,5,8,100.0
155867.0,17,17,5,12,100.0
155898.0,11,11,3,9,100.0
155979.0,9,9,5,8,100.0
156831.0,8,8,3,5,100.0
156937.0,20,20,7,14,100.0
157060.0,23,23,7,17,100.0
157353.0,1,1,1,1,100.0
157684.0,17,17,6,9,100.0
158068.0,54,54,8,19,100.0
158668.0,14,14,4,5,100.0
158696.0,16,16,6,15,100.0
158934.0,18,18,8,14,100.0
158935.0,18,18,8,14,100.0
158941.0,16,16,5,12,100.0
159565.0,19,19,6,14,100.0
162015.0,17,17,5,13,100.0
163419.0,9,9,2,5,100.0
164790.0,24,24,7,14,100.0
166723.0,25,25,3,12,100.0
171360.0,19,19,6,13,100.0
175692.0,48,48,7,19,100.0
183025.0,15,15,4,11,100.0
183459.0,9,9,4,7,100.0
185349.0,4,4,4,4,100.0
185489.0,12,12,5,9,100.0
185556.0,32,32,7,18,100.0
185558.0,15,15,6,12,100.0
185726.0,37,37,8,20,100.0
185759.0,7,7,5,6,100.0
185761.0,32,32,8,20,100.0
185767.0,17,17,4,9,100.0
185781.0,10,10,5,8,100.0
185841.0,36,36,9,20,100.0
186441.0,17,17,6,12,100.0
186761.0,8,8,3,6,100.0
186817.0,8,8,3,5,100.0
186819.0,6,6,3,5,100.0
186820.0,7,7,3,6,100.0
186826.0,6,6,2,5,100.0
186827.0,7,7,3,6,100.0
187080.0,3,3,3,3,100.0
187092.0,19,19,7,16,100.0
187465.0,15,15,4,11,100.0
187984.0,19,19,4,13,100.0
187986.0,7,7,5,7,100.0
187989.0,8,8,3,7,100.0
187990.0,9,9,4,8,100.0
188053.0,56,56,8,26,100.0
188080.0,17,17,6,13,100.0
188083.0,1,1,1,1,100.0
188085.0,3,3,1,2,100.0
188087.0,1,1,1,1,100.0
188137.0,31,31,8,17,100.0
188445.0,90,88,9,27,97.8
188882.0,20,20,6,13,100.0
189175.0,22,22,7,16,100.0
189279.0,1,1,1,1,100.0
190419.0,27,27,6,14,100.0
190420.0,13,13,7,10,100.0
190504.0,19,19,8,15,100.0
190656.0,18,18,4,12,100.0
190718.0,33,33,5,18,100.0
190736.0,44,44,9,24,100.0
191095.0,14,14,6,11,100.0
191196.0,26,26,6,16,100.0
191199.0,18,18,5,12,100.0
191200.0,12,12,5,9,100.0
191530.0,18,18,4,13,100.0
191536.0,13,13,3,9,100.0
191789.0,37,37,8,22,100.0
191790.0,17,17,5,11,100.0
191823.0,24,24,5,18,100.0
191824.0,30,30,7,20,100.0
191825.0,12,12,5,10,100.0
191826.0,20,20,6,14,100.0
191827.0,8,8,5,7,100.0
191828.0,13,13,5,9,100.0
