mineral_raw,mineral_base,key,count,family_primary,family_copper,tags
Chondrodite,Chondrodite,chondrodite,6,Halides,Halides_fluorite,
Geocronite,Geocronite,geocronite,6,Sulfosalts,Pb_sulfides,
Harmotome,Harmotome,harmotome,6,Silicates,Other_silicates,
Thorianite,Thorianite,thorianite,6,Oxides_hydroxides,Oxides_misc,U_Th_indicator
Geerite,Geerite,geerite,6,Sulfides_and_analogues,Cu_sulfides_other,Cu_bearing
Rucklidgeite,Rucklidgeite,rucklidgeite,6,Sulfosalts,Pb_sulfides,
Baddeleyite,Baddeleyite,baddeleyite,6,Oxides_hydroxides,Oxides_misc,
Greenalite,Greenalite,greenalite,6,Silicates,Other_silicates,
Braunite,Braunite,braunite,6,Silicates,Other_silicates,
Hydrozincite,Hydrozincite,hydrozincite,6,Carbonates_nitrates,Carbonates,
Chalcosiderite,Chalcosiderite,chalcosiderite,6,Phosphates_arsenates_vanadates,Phosphates_other,Cu_bearing
Nisbite,Nisbite,nisbite,6,Sulfides_and_analogues,Ni_Co_sulfides_arsenides,Ni_bearing
Nukundamite,Nukundamite,nukundamite,6,Sulfides_and_analogues,Cu_sulfides_other,Cu_bearing
Smythite,Smythite,smythite,6,Sulfides_and_analogues,Ni_Co_sulfides_arsenides,Ni_bearing
Vysotskite,Vysotskite,vysotskite,6,Sulfides_and_analogues,Sulfides_misc,
Mertieite,Mertieite,mertieite,6,Sulfides_and_analogues,Ni_Co_sulfides_arsenides,
Paolovite,Paolovite,paolovite,6,Native_elements,PGE_alloys_intermetallics,
Rustenburgite,Rustenburgite,rustenburgite,6,Native_elements,PGE_alloys_intermetallics,
Butlerite,Butlerite,butlerite,6,Sulfates_chromates_molybdates_tungstates,Sulfates_other,
Chenevixite,Chenevixite,chenevixite,6,Sulfates_chromates_molybdates_tungstates,Sulfates_other,Cu_bearing
Okenite,Okenite,okenite,6,Silicates,Other_silicates,
Chloritoid,Chloritoid,chloritoid,6,Silicates,Other_silicates,
Jordanite,Jordanite,jordanite,6,Sulfosalts,Pb_sulfides,
Uranophane,Uranophane,uranophane,6,Silicates,Other_silicates,U_Th_indicator
Cryptomelane,Cryptomelane,cryptomelane,6,Oxides_hydroxides,Mn_oxides,
Frohbergite,Frohbergite,frohbergite,6,Sulfides_and_analogues,Sulfides_misc,
Alabandite,Alabandite,alabandite,6,Sulfides_and_analogues,Sulfides_misc,
Tyrolite,Tyrolite,tyrolite,6,Carbonates_nitrates,Cu_carbonates_silicates,Cu_bearing
Bismutite,Bismutite,bismutite,6,Carbonates_nitrates,Carbonates,
Bastnäsite-(Ce),Bastnäsite,bastnäsite,6,Carbonates_nitrates,Carbonates,REE_indicator
Ferberite,Ferberite,ferberite,6,Sulfates_chromates_molybdates_tungstates,Sulfates_other,
Eriochalcite,Eriochalcite,eriochalcite,6,Halides,Halides_other,Cu_bearing
Testibiopalladite,Testibiopalladite,testibiopalladite,6,Native_elements,PGE_alloys_intermetallics,
Posnjakite,Posnjakite,posnjakite,6,Sulfates_chromates_molybdates_tungstates,Sulfates_other,Cu_bearing
Ferrihydrite,Ferrihydrite,ferrihydrite,6,Oxides_hydroxides,Fe_oxides_hydroxides,
Ferrosilite,Ferrosilite,ferrosilite,5,Silicates,Other_silicates,
Lead,Lead,lead,5,Native_elements,Native_elements_misc,
Berthierite,Berthierite,berthierite,5,Sulfosalts,As_Sb_Bi_sulfosalts,
Insizwaite,Insizwaite,insizwaite,5,Sulfides_and_analogues,As_Sb_Bi_sulfosalts,
Geversite,Geversite,geversite,5,Sulfides_and_analogues,As_Sb_Bi_sulfosalts,
Joséite-B,Joséite-B,joséite-b,5,Sulfosalts,As_Sb_Bi_sulfosalts,
Kobellite,Kobellite,kobellite,5,Sulfosalts,Cu_sulfides_other,Cu_bearing
Crandallite,Crandallite,crandallite,5,Phosphates_arsenates_vanadates,Phosphates_other,
Godlevskite,Godlevskite,godlevskite,5,Sulfides_and_analogues,Ni_Co_sulfides_arsenides,Ni_bearing
Isoferroplatinum,Isoferroplatinum,isoferroplatinum,5,Native_elements,PGE_alloys_intermetallics,
Ulvöspinel,Ulvöspinel,ulvöspinel,5,Oxides_hydroxides,Fe_oxides_hydroxides,
Hinsdalite,Hinsdalite,hinsdalite,5,Sulfates_chromates_molybdates_tungstates,Sulfates_other,
Chlorapatite,Chlorapatite,chlorapatite,5,Phosphates_arsenates_vanadates,Phosphates_apatite,
Volborthite,Volborthite,volborthite,5,Oxides_hydroxides,Cu_oxides,Cu_bearing
Shattuckite,Shattuckite,shattuckite,5,Silicates,Other_silicates,Cu_bearing
Chalcostibite,Chalcostibite,chalcostibite,5,Sulfosalts,Cu_sulfides_other,Cu_bearing
Tetrahedrite-(Zn),Tetrahedrite,tetrahedrite,5,Sulfosalts,Cu_sulfides_other,Cu_bearing
