Mindat_id,Amphiboles_pyroxenes,As_Sb_Bi_sulfosalts,Au_Ag_native,Barite,Borates,Carbonates,Clay_minerals,Cu_carbonates_silicates,Cu_oxides,Cu_sulfides_other,Cu_sulfides_primary,Cu_sulfides_supergene,Epidote_group,Evaporite_sulfates,Fe_oxides_hydroxides,Fe_sulfides,Feldspars,Halides_fluorite,Halides_other,Micas_sericite,Mn_oxides,Mo_sulfides,Native_elements_misc,Ni_Co_sulfides_arsenides,Other_accessory,Other_silicates,Oxides_misc,PGE_alloys_intermetallics,Pb_sulfides,Phosphates_apatite,Phosphates_other,Quartz,REE_accessory,Skarn_calc_silicates,Sulfates_other,Sulfides_misc,Ti_oxides,Zn_sulfides
8588.0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,2,3,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1
8667.0,0,0,0,0,0,3,0,0,0,1,2,1,0,1,5,2,1,0,0,1,0,0,0,1,0,10,0,0,0,0,0,1,0,2,0,0,1,1
8700.0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1
8701.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,1,0,0,0,0,0,1
8744.0,0,0,0,1,0,3,0,2,1,0,2,1,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
8794.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
8802.0,0,0,1,1,0,0,0,2,0,1,2,2,0,2,2,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,1
8831.0,0,0,1,0,0,0,1,0,0,2,2,2,0,2,2,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,2,0,0,1,1
8859.0,0,0,1,0,0,1,0,2,0,2,2,0,0,2,3,2,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,1,0,1,0,0,1,1
8875.0,0,0,1,1,0,1,0,2,0,0,1,0,1,2,1,2,1,1,0,1,1,0,1,2,0,0,0,0,1,0,0,1,0,1,1,2,0,1
8886.0,0,0,1,1,0,3,1,0,2,5,2,3,0,2,4,1,1,0,1,1,0,1,1,2,0,6,0,0,1,0,0,1,0,2,2,6,1,1
8905.0,0,0,2,1,0,2,0,0,0,4,2,2,0,0,2,3,1,0,0,1,0,0,1,1,0,0,1,0,3,0,1,1,0,0,8,0,0,1
8906.0,0,1,2,1,0,5,0,0,0,4,2,0,0,0,2,3,0,0,0,1,0,1,1,1,0,7,1,0,2,0,0,1,0,1,4,0,1,1
8945.0,0,0,1,1,0,1,0,0,0,0,2,2,0,1,1,1,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,9,1,0,1
9014.0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
9386.0,0,9,1,1,0,0,0,0,0,1,1,1,0,0,3,3,0,0,0,0,0,0,1,14,0,2,0,4,2,0,0,0,0,1,0,3,1,1
9496.0,0,12,2,0,0,3,1,0,0,10,1,1,0,0,1,3,0,1,0,1,0,0,3,5,0,10,2,0,10,1,0,1,0,0,2,3,1,1
9552.0,0,0,1,1,0,1,1,2,0,0,2,2,0,1,0,1,0,0,0,1,0,0,1,0,0,3,0,0,1,0,0,1,0,0,2,0,0,1
9592.0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
9697.0,0,3,2,0,0,0,0,0,0,2,2,2,0,0,3,3,0,0,0,1,0,0,2,3,0,0,1,0,2,0,0,1,0,1,0,0,1,1
9702.0,0,3,2,1,0,1,0,0,0,6,1,0,0,0,3,2,0,1,0,0,1,1,3,5,0,5,4,0,3,0,0,1,0,1,0,1,5,1
9706.0,0,6,1,1,0,1,2,2,1,1,2,3,0,1,4,1,2,1,0,1,0,1,0,2,0,3,0,1,2,1,0,1,0,2,0,9,1,1
9736.0,0,0,0,0,0,3,0,1,0,1,2,1,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
9743.0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
9786.0,0,1,1,0,0,4,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,6,0,2,1,0,0,0,0,1,1,1,0,1,0,0
9832.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,1,0,1,0,0,0,1
9905.0,0,1,1,0,0,7,1,0,0,2,1,0,0,2,3,2,0,1,4,1,0,1,0,2,0,10,1,0,2,0,0,1,0,3,13,3,0,1
10049.0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
10058.0,0,1,1,0,0,1,0,0,0,4,1,0,0,0,1,3,0,0,0,0,0,0,0,1,0,7,1,0,1,0,0,1,0,1,2,1,0,1
10277.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
10328.0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,1,3,0,0,0,0,2,0,0,0,0,0,0,1,0,1
10351.0,0,0,0,0,0,1,0,2,0,1,2,1,0,0,4,3,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,1,4,0,0,1
10383.0,0,7,2,0,0,0,0,0,0,1,2,0,0,0,2,3,0,0,0,1,0,0,1,13,0,0,1,0,3,0,0,1,0,1,0,3,1,1
10452.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
10591.0,0,1,2,1,0,3,0,0,0,0,2,1,0,2,2,2,2,1,1,1,0,1,0,0,0,9,0,0,1,0,0,1,0,2,1,0,1,1
10617.0,0,0,1,0,0,3,0,2,2,0,1,2,0,0,3,2,1,0,3,1,0,0,2,0,0,7,0,0,0,1,0,1,0,2,1,0,1,1
10618.0,0,0,0,1,0,2,0,2,2,0,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1
10663.0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,1,1,0,1
10687.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
10790.0,0,0,1,1,0,1,0,2,0,0,2,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10867.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
10915.0,0,3,1,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,1
10917.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10918.0,0,1,1,0,0,0,0,0,0,3,2,1,0,0,0,2,0,0,0,0,0,1,0,3,0,0,0,0,4,0,0,0,0,0,0,2,0,1
11127.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,2,0,0,1,0,0,0,6,0,0,0,0,1,0,0,1,0,1,0,0,0,1
11182.0,0,1,1,0,0,2,0,0,0,2,1,0,0,1,2,3,1,0,0,1,0,0,1,1,0,3,0,0,2,0,0,1,0,2,0,2,0,1
11307.0,0,0,0,0,0,3,2,2,1,1,2,1,1,1,2,2,1,2,0,1,0,1,2,1,0,7,0,0,1,0,0,1,0,4,2,0,0,1
11434.0,0,0,0,0,0,2,0,0,0,2,1,0,0,1,1,2,0,0,0,1,0,0,1,0,0,2,0,0,1,0,1,1,0,1,0,0,1,1
11459.0,0,0,1,0,0,1,0,1,0,0,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
11508.0,0,1,0,0,0,1,0,0,0,1,1,2,0,0,4,2,0,0,0,1,0,0,1,0,0,3,0,0,1,1,0,1,0,2,6,1,1,1
11605.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,1,0,4,0,0,1,0,0,1,0,0,0,0,0,1
11726.0,0,5,2,1,0,10,1,0,2,10,2,3,0,2,6,2,2,3,2,1,1,1,4,5,0,6,5,0,3,2,1,1,3,3,5,6,3,1
11734.0,0,0,0,1,0,0,0,0,0,1,2,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
11777.0,0,1,0,1,0,0,0,0,0,0,1,2,0,0,3,3,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,1,0,0,2,0,0,1
11803.0,0,2,2,1,0,6,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,2,1,0,2,0,1,1,0,0,5,0,0,2
11824.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,1
11886.0,0,0,1,0,0,0,1,1,0,0,1,3,0,0,3,1,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
11952.0,0,3,2,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,3,1,0,0,0,5,0,0,0,1,0,0,0,3,0,0
11973.0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,2,1,1,0,1
12048.0,0,0,1,0,0,1,0,0,0,2,2,1,0,0,1,2,0,0,0,1,0,0,0,1,0,7,0,0,3,0,0,1,0,2,0,0,0,1
12053.0,0,1,1,1,0,1,0,0,0,2,1,0,0,0,2,2,0,0,0,0,0,1,0,4,0,2,1,0,1,0,0,0,0,1,1,1,0,1
12054.0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,2,3,1,0,0,0,0,1,2,2,0,0,0,0,0,0,0,1,0,0,1,0,1,1
12057.0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,2,2,0,0,0,1,0,1,0,0,0,3,0,0,1,0,0,1,0,1,0,0,1,1
12663.0,0,0,1,0,3,4,1,0,0,1,2,1,0,2,2,2,1,3,0,1,0,1,0,2,0,20,3,0,1,0,0,1,0,4,3,1,1,1
13126.0,0,1,2,1,0,2,0,0,0,2,2,2,0,0,2,3,0,0,0,1,0,1,1,1,0,5,0,0,2,0,0,1,0,0,3,1,0,1
13132.0,0,0,2,0,0,2,0,0,0,1,1,0,0,0,3,2,1,1,0,1,0,0,0,2,0,2,1,0,1,0,0,1,0,1,0,1,1,1
13203.0,0,0,2,1,0,4,2,3,2,1,2,2,0,1,3,2,0,0,1,0,0,0,1,0,0,1,1,0,3,0,1,1,0,0,22,0,0,1
13473.0,0,3,2,0,0,0,0,2,1,1,2,3,0,0,2,3,0,0,1,1,0,1,2,1,0,3,2,0,1,0,2,1,1,1,0,0,0,1
13474.0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
13477.0,0,0,0,1,0,0,0,2,2,0,2,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
13482.0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,3,0,0,0,1,0,0,0
13770.0,0,0,2,1,0,2,1,2,2,2,2,2,0,1,2,3,0,2,0,1,0,1,1,1,0,9,1,0,1,0,1,1,0,3,2,2,1,1
13826.0,0,0,0,0,0,0,0,2,1,7,2,2,0,0,2,3,0,0,2,1,0,1,0,6,0,10,1,0,0,0,0,0,0,1,1,1,0,1
13841.0,0,0,0,1,0,3,1,2,0,0,1,0,0,0,1,1,2,1,1,0,1,0,1,4,0,11,0,0,0,0,0,1,0,3,0,0,0,1
13949.0,0,0,0,0,0,2,0,2,1,1,2,3,0,0,2,1,1,0,0,1,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0
13955.0,0,0,2,0,0,0,0,0,0,0,1,1,0,2,2,1,0,1,0,1,0,1,1,0,0,6,0,0,1,0,0,0,0,2,2,0,1,1
13958.0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
