Mindat_id,Borates,Carbonates_nitrates,Halides,Native_elements,Other_unknown,Oxides_hydroxides,Phosphates_arsenates_vanadates,Silicates,Sulfates_chromates_molybdates_tungstates,Sulfides_and_analogues,Sulfosalts
17175.0,0,2,0,1,0,6,1,10,0,12,0
17373.0,0,0,0,0,0,2,0,2,1,4,0
17460.0,0,0,0,1,0,5,0,10,0,6,1
17539.0,0,2,0,1,0,2,0,5,1,4,0
17692.0,0,6,2,2,0,1,0,6,5,10,2
17816.0,0,5,0,3,0,2,0,5,1,9,3
18255.0,0,4,0,1,0,0,0,6,1,8,2
18270.0,0,2,0,1,0,0,0,7,2,7,4
18379.0,0,1,0,0,0,4,0,2,2,8,0
18441.0,0,3,0,0,0,3,0,3,3,6,0
18571.0,0,0,0,1,0,0,0,5,1,5,4
18578.0,0,0,0,0,0,0,0,0,0,9,1
18580.0,0,1,0,1,0,0,0,2,0,5,1
18581.0,0,0,0,1,0,0,0,6,0,5,3
18583.0,0,1,2,2,0,2,0,4,0,15,2
18672.0,0,0,0,2,0,2,0,1,0,9,11
18705.0,0,3,0,0,0,0,0,0,0,0,0
18790.0,0,0,0,1,0,6,0,1,6,12,0
18837.0,0,0,1,1,0,3,0,6,0,9,6
18839.0,0,9,3,3,0,3,1,10,7,6,5
18963.0,0,0,0,0,0,0,0,0,0,9,0
19036.0,0,4,0,1,0,2,0,5,0,8,0
19062.0,0,2,1,1,0,3,0,8,0,5,0
19089.0,0,3,0,0,0,1,0,0,0,2,0
19265.0,0,1,0,1,0,0,0,3,1,5,4
19429.0,0,6,1,5,0,4,0,2,7,11,9
19493.0,0,2,0,0,0,2,0,4,2,8,1
19949.0,0,2,0,0,0,2,0,3,0,6,1
19966.0,0,4,0,0,0,3,0,6,1,6,1
19975.0,0,1,1,3,0,6,0,2,0,10,3
20111.0,0,3,0,3,0,5,8,4,3,8,0
20202.0,0,1,0,0,0,0,0,0,0,4,0
20269.0,0,3,1,2,0,3,0,9,1,13,1
21099.0,0,2,0,0,0,2,6,3,2,3,0
21132.0,0,0,0,2,1,1,0,4,0,11,1
21217.0,0,0,0,1,0,3,0,4,0,15,4
21221.0,0,3,0,3,0,0,0,1,0,8,2
21538.0,0,3,0,2,0,2,0,8,2,18,2
21589.0,0,3,3,2,0,6,0,10,25,11,1
21603.0,0,1,0,1,0,1,0,7,0,5,0
21605.0,0,2,0,1,0,0,0,5,0,4,2
21638.0,0,0,0,0,0,0,0,0,0,4,0
21755.0,0,5,0,1,0,7,0,10,2,9,1
22091.0,0,4,0,1,0,2,0,7,2,19,3
22183.0,0,3,0,0,0,2,0,6,0,6,0
22204.0,0,2,0,1,0,2,0,8,1,7,1
22531.0,0,6,0,2,0,1,1,2,3,13,1
22701.0,0,4,1,1,0,1,0,0,3,10,0
22945.0,0,2,1,0,0,3,0,4,3,8,0
22987.0,0,0,0,1,0,1,0,0,0,6,2
23128.0,0,1,0,0,0,3,0,4,0,5,1
23197.0,0,2,0,1,0,3,0,1,0,9,8
23362.0,0,1,1,1,0,2,0,4,7,20,7
23365.0,0,0,0,0,0,3,0,6,0,6,3
23547.0,0,0,0,1,0,0,0,5,5,11,8
24322.0,0,1,0,0,0,0,0,1,0,5,0
24511.0,0,5,1,0,0,2,4,6,1,5,0
24995.0,0,6,1,3,0,13,6,19,3,14,2
25120.0,0,3,2,3,0,6,1,10,11,25,8
25121.0,0,7,1,4,0,5,0,7,1,32,16
25286.0,0,3,2,0,0,1,2,8,4,3,0
25293.0,0,4,0,1,0,3,0,1,3,7,0
25303.0,0,1,0,3,0,8,0,14,0,17,13
25368.0,0,2,0,1,0,3,0,7,3,11,1
25411.0,0,2,1,1,0,2,0,5,6,9,2
25444.0,0,0,0,1,0,0,2,0,1,0,0
25473.0,0,1,0,1,0,2,0,2,2,8,2
25581.0,0,1,0,1,0,0,0,5,2,7,0
25611.0,0,0,0,0,0,0,0,3,0,5,1
25612.0,0,0,0,0,0,0,0,0,0,5,0
25613.0,0,3,0,1,0,3,0,2,5,6,0
25615.0,0,0,0,0,0,1,0,0,0,3,1
25693.0,0,2,1,4,0,3,0,5,0,10,5
25759.0,0,1,0,4,0,5,0,9,2,20,5
25845.0,0,2,1,0,0,3,1,6,2,6,1
25904.0,0,3,0,1,0,3,0,5,0,8,1
25940.0,0,0,0,0,0,1,0,0,0,5,0
25949.0,0,4,1,2,0,4,0,8,4,12,1
25958.0,0,0,0,1,0,5,0,0,0,3,0
26138.0,0,0,0,1,0,0,0,2,1,5,1
26155.0,0,3,1,1,0,6,1,6,5,10,0
26179.0,0,0,0,1,0,1,0,0,0,8,2
26201.0,0,1,0,1,0,3,0,5,0,11,0
26314.0,0,0,0,1,0,0,0,1,0,9,6
26538.0,0,0,0,1,0,1,0,2,0,4,1
26686.0,0,2,0,1,0,3,0,5,0,6,0
26702.0,0,4,0,1,0,3,1,6,3,3,0
27056.0,0,3,0,2,0,5,2,11,0,8,3
27162.0,0,5,0,3,0,6,0,5,4,16,4
27221.0,0,3,1,4,0,5,0,13,8,7,2
27227.0,0,3,1,0,0,8,2,9,7,9,2
27261.0,0,2,1,1,0,2,0,6,2,11,2
27717.0,0,2,0,1,0,1,0,0,0,0,0
27934.0,0,4,0,1,0,1,0,2,1,8,1
28042.0,0,0,0,1,0,1,0,2,0,3,0
28095.0,0,6,0,1,0,10,0,8,3,16,0
28109.0,0,1,0,0,0,4,0,7,4,13,0
28110.0,0,1,0,0,0,0,0,0,0,4,0
28152.0,0,1,0,0,0,0,0,1,0,2,0
28230.0,0,3,2,2,0,5,5,14,7,8,0
28448.0,0,1,1,1,0,5,0,12,7,13,4
28584.0,0,1,0,0,0,0,0,0,0,4,0
28588.0,0,2,0,4,0,5,0,8,3,7,0
28719.0,0,1,0,0,0,6,0,13,1,4,0
28720.0,0,0,0,0,0,1,0,0,0,4,0
28721.0,0,0,1,0,0,2,0,1,0,3,0
28722.0,0,1,0,1,0,2,0,2,0,5,1
28723.0,0,0,0,1,0,2,0,4,0,9,0
28724.0,0,0,0,1,0,1,0,7,4,6,1
29703.0,0,1,1,3,0,1,0,5,1,11,2
30204.0,0,4,0,4,1,5,0,11,3,16,1
30621.0,0,1,0,1,0,2,0,3,2,10,0
30641.0,0,5,0,0,0,2,0,1,2,4,0
30673.0,0,12,5,3,0,15,1,7,33,11,3
30976.0,0,0,2,0,0,2,0,2,0,5,0
32000.0,0,2,0,0,0,1,0,1,1,4,0
32440.0,0,6,2,1,0,6,1,19,9,10,0
32562.0,0,4,0,0,0,2,4,2,1,8,0
32728.0,0,1,2,0,0,2,0,7,2,3,1
32750.0,0,3,1,2,0,3,0,13,1,8,4
32790.0,0,2,0,0,0,4,0,6,2,5,1
33114.0,0,3,0,3,0,4,0,2,2,6,0
33127.0,0,5,0,2,0,2,0,1,3,7,0
33179.0,0,3,0,0,0,0,2,1,0,6,0
33219.0,0,0,0,0,0,0,0,0,0,2,0
33241.0,0,0,0,1,0,2,0,3,0,9,0
33954.0,0,1,0,2,0,2,0,3,0,8,2
34420.0,0,1,0,1,0,0,0,0,0,7,0
34428.0,0,0,0,2,0,1,0,3,0,14,13
34975.0,0,3,0,1,0,4,0,12,4,9,0
35613.0,0,0,0,1,0,0,0,0,0,7,5
36285.0,0,2,1,2,0,1,0,2,2,7,1
36363.0,0,1,0,0,0,2,0,3,1,11,2
36818.0,0,4,0,2,0,5,0,6,3,12,1
37411.0,0,3,0,3,0,3,0,3,0,3,0
37441.0,0,3,1,0,0,6,2,4,6,8,1
37499.0,0,3,1,2,0,5,4,5,1,6,0
38508.0,0,7,0,1,0,3,0,3,15,8,1
39272.0,0,3,5,2,0,8,3,10,7,17,1
39273.0,0,7,1,3,0,9,10,16,15,14,4
39275.0,0,0,0,1,0,6,2,7,4,8,1
41271.0,0,4,0,0,0,2,1,5,4,5,0
41272.0,0,2,0,0,0,0,0,1,0,0,0
41275.0,0,4,0,0,0,0,0,2,2,4,0
42054.0,0,2,0,3,0,1,0,1,1,10,0
42058.0,0,3,0,0,0,1,0,0,1,6,0
42400.0,0,6,0,0,0,1,3,3,1,0,0
43252.0,0,4,1,2,0,4,1,3,1,7,2
43582.0,0,2,0,2,0,6,1,18,4,9,0
43585.0,0,0,0,1,0,0,0,2,0,5,1
43642.0,0,12,2,3,0,9,3,19,17,12,3
44003.0,0,15,0,2,0,11,8,7,5,6,0
44061.0,0,5,0,1,0,0,2,3,3,4,1
44124.0,0,3,1,2,0,3,1,6,2,7,0
44460.0,0,6,0,2,0,0,0,3,1,5,0
44769.0,0,3,0,0,0,4,0,4,0,9,1
45680.0,0,3,0,2,0,1,0,3,0,4,0
45788.0,0,0,0,0,0,0,0,1,0,4,0
45790.0,0,1,0,1,0,0,0,1,0,4,0
45920.0,0,0,0,0,0,0,0,0,0,4,1
46163.0,0,4,0,3,0,5,0,8,3,6,0
46287.0,0,0,1,0,0,1,0,1,0,3,0
46329.0,0,1,0,0,0,2,0,4,0,10,2
46331.0,0,3,0,3,0,3,0,7,3,13,3
46414.0,0,1,0,0,0,1,0,0,0,5,1
46421.0,0,2,0,3,0,2,1,4,19,9,3
46430.0,0,0,0,1,0,0,0,0,0,0,0
46432.0,0,5,2,2,0,4,0,9,20,6,4
46745.0,0,2,0,0,0,1,0,2,1,6,1
46971.0,0,5,1,1,0,5,0,4,12,6,1
46972.0,0,7,0,1,0,4,0,3,4,9,0
47606.0,0,0,2,1,0,2,0,7,2,5,1
47837.0,0,0,0,0,0,1,0,5,0,7,1
47950.0,0,2,0,0,0,2,0,3,0,10,6
48271.0,0,0,0,2,0,2,0,3,0,5,0
48424.0,0,1,0,0,0,0,0,2,0,8,2
48983.0,0,6,0,2,0,4,0,13,0,16,4
49888.0,0,2,0,1,0,1,0,0,1,1,0
50665.0,0,3,1,1,0,0,0,6,1,4,1
50863.0,0,3,2,3,0,4,0,10,2,6,1
51058.0,0,1,2,1,0,6,0,8,3,8,0
51825.0,0,1,0,0,0,1,0,8,0,6,1
52166.0,0,4,2,6,0,7,0,26,0,26,12
52775.0,0,2,0,1,0,3,0,8,1,8,0
53487.0,0,2,2,2,0,4,0,3,6,7,0
53669.0,0,0,0,0,0,0,0,0,1,5,1
54260.0,0,0,3,0,0,1,3,0,3,0,0
54489.0,0,0,0,1,0,3,0,3,0,7,0
54518.0,0,6,0,1,0,3,0,8,2,9,1
55427.0,0,3,0,2,0,2,0,2,2,14,8
55597.0,0,2,1,1,0,4,0,5,5,11,2
55929.0,0,3,0,1,0,1,0,0,0,1,0
56211.0,0,7,4,0,0,15,6,17,8,12,1
56299.0,0,0,0,0,0,0,0,0,8,2,0
56379.0,0,0,0,0,0,2,0,0,0,2,0
56760.0,0,1,0,6,0,2,0,7,0,14,6
56940.0,0,1,0,2,0,1,0,0,1,6,1
58352.0,0,4,0,2,0,4,0,13,2,8,0
58783.0,0,2,0,1,0,3,0,3,6,7,0
59571.0,0,1,0,0,0,1,0,2,1,5,0
60100.0,0,1,0,1,0,1,0,5,1,8,0
60101.0,0,0,0,1,0,0,0,2,1,7,0
60113.0,0,4,3,2,0,3,2,16,4,13,6
60164.0,0,2,0,3,0,5,1,6,2,10,2
61612.0,0,2,1,2,0,4,3,10,3,8,0
