Mindat_id,litho_class,age_category,Deposit_type
64578.0,carbonate,Mesozoic,VMS
65283.0,felsic,Precambrian,VMS
65285.0,mafic,Precambrian,IOCG
66858.0,volcanic,Precambrian,VMS
66898.0,metamorphic,Precambrian,VMS
68115.0,carbonate,Precambrian,Sediment-Hosted
68188.0,metamorphic,Paleozoic,VMS
68257.0,metamorphic,Cenozoic,Porphyry
71511.0,mafic,Precambrian,Sediment-Hosted
73136.0,felsic,Cenozoic,VMS
73233.0,volcanic,Cenozoic,VMS
73255.0,metamorphic,Mesozoic,VMS
75449.0,felsic,Mesozoic,VMS
81928.0,volcanic,Mesozoic,VMS
84746.0,felsic,Mesozoic,VMS
85223.0,felsic,Mesozoic,VMS
86332.0,felsic,Mesozoic,Porphyry
92443.0,felsic,Paleozoic,VMS
92495.0,felsic,Paleozoic,VMS
93923.0,metamorphic,Mesozoic,VMS
98618.0,felsic,Mesozoic,VMS
107252.0,felsic,Cenozoic,Porphyry
108163.0,felsic,Cenozoic,VMS
108197.0,felsic,Cenozoic,Porphyry
109677.0,felsic,Precambrian,VMS
109688.0,mafic,Precambrian,VMS
114858.0,siliciclastic,Mesozoic,Porphyry
122228.0,volcanic,Cenozoic,Porphyry
122759.0,mafic,Precambrian,Magmatic sulfide
122767.0,mafic,Precambrian,Magmatic sulfide
122804.0,felsic,Mesozoic,Porphyry
122928.0,siliciclastic,Paleozoic,Porphyry
122945.0,mafic,Cenozoic,Porphyry
122949.0,mafic,Precambrian,VMS
122950.0,felsic,Precambrian,Porphyry
122951.0,mafic,Precambrian,Porphyry
123105.0,metamorphic,Precambrian,Sediment-Hosted
124002.0,siliciclastic,Precambrian,Sediment-Hosted
125608.0,mafic,Mesozoic,VMS
126508.0,metamorphic,Precambrian,Sediment-Hosted
126948.0,carbonate,Precambrian,Sediment-Hosted
127294.0,metamorphic,Precambrian,IOCG
127444.0,felsic,Paleozoic,Porphyry
131133.0,volcanic,Cenozoic,Porphyry
131315.0,volcanic,Paleozoic,VMS
132814.0,carbonate,Precambrian,Porphyry
134565.0,felsic,Cenozoic,Porphyry
134676.0,volcanic,Mesozoic,Porphyry
134745.0,mafic,Precambrian,IOCG
135329.0,felsic,Cenozoic,Porphyry
142697.0,volcanic,Mesozoic,Porphyry
142700.0,felsic,Precambrian,Porphyry
143892.0,felsic,Paleozoic,Porphyry
144548.0,mafic,Precambrian,IOCG
144955.0,mafic,Paleozoic,VMS
144957.0,mafic,Paleozoic,VMS
144964.0,mafic,Paleozoic,VMS
144966.0,mafic,Paleozoic,VMS
145027.0,metamorphic,Precambrian,VMS
145060.0,mafic,Paleozoic,VMS
145877.0,metamorphic,Precambrian,IOCG
145879.0,felsic,Precambrian,IOCG
146259.0,mafic,Mesozoic,VMS
146855.0,felsic,Mesozoic,Porphyry
147142.0,volcanic,Paleozoic,VMS
155468.0,mafic,Precambrian,Sediment-Hosted
155678.0,mafic,Precambrian,Sediment-Hosted
155867.0,volcanic,Mesozoic,Porphyry
