Mindat_id,latitude,longitude,litho_raw,litho_class,api_status
206853.0,-3.78305555556,-78.6,sedimentary rocks,other,ok
206854.0,-4.33305555556,-80.0,intrusive igneous rocks,other,ok
206855.0,-4.2,-79.5830555556,sedimentary rocks,other,ok
206856.0,-2.93305555556,-79.4163888889,sedimentary rocks,other,ok
206858.0,-3.58305555556,-79.3330555556,sedimentary rocks,other,ok
206859.0,-3.05,-79.683333,sedimentary rocks,other,ok
206860.0,-1.38305555556,-79.1163888889,sedimentary rocks,other,ok
206908.0,29.2705555556,61.5844444444,sedimentary rocks,other,ok
206910.0,29.554444,64.504166,sedimentary rocks,other,ok
206911.0,29.1225,62.194166,sedimentary rocks,other,ok
206942.0,-11.6,-76.133333,sedimentary rocks,other,ok
206943.0,-6.76138888889,-78.6055555556,sedimentary rocks,other,ok
206944.0,-16.5455555556,-71.5525,intrusive igneous rocks,other,ok
206945.0,-17.6813888889,-69.9005555556,sedimentary rocks,other,ok
206947.0,-8.21527777778,-77.7713888889,sedimentary rocks,other,ok
206949.0,-7.11777777778,-78.5752777778,sedimentary rocks,other,ok
206950.0,-14.4613888889,-72.9930555556,sedimentary rocks,other,ok
206958.0,-6.725,-78.6691666667,sedimentary rocks,other,ok
206959.0,-13.6858333333,-75.0927777778,sedimentary rocks,other,ok
206960.0,-13.2344444444,-75.9163888889,sedimentary rocks,other,ok
206961.0,-15.8163888889,-73.5830555556,sedimentary rocks,other,ok
206962.0,-8.775,-77.991666666667,sedimentary rocks,other,ok
207056.0,-16.7733333333,-71.3575,sedimentary rocks,other,ok
207057.0,-6.35805555556,-79.1191666667,sedimentary rocks,other,ok
207058.0,-12.9755555556,-76.1391666667,sedimentary rocks,other,ok
207059.0,-4.94416666667,-79.3080555556,intrusive igneous rocks,other,ok
207061.0,-8.55944444444,-77.8963888889,sedimentary rocks,other,ok
207063.0,-14.1830555556,-75.1480555556,sedimentary rocks,other,ok
207064.0,-11.4794444444,-76.0841666667,sedimentary rocks,other,ok
207065.0,-5.70444444444,-79.2805555556,sedimentary rocks,other,ok
207164.0,17.7666666667,121.233333333,sedimentary rocks,other,ok
207165.0,16.75,121.35,sedimentary rocks,other,ok
207169.0,16.7333333333,120.766666667,sedimentary rocks,other,ok
207170.0,17.3,121.01,sedimentary rocks,other,ok
207172.0,16.75,120.7,sedimentary rocks,other,ok
207174.0,13.8,121.133333333,sedimentary rocks,other,ok
207177.0,17.4,120.866666667,sedimentary rocks,other,ok
207179.0,14.9736111111,120.204166667,intrusive igneous rocks,other,ok
207288.0,-28.2166666667,-69.6,intrusive igneous rocks,other,ok
207289.0,-23.4277777778,-69.5113888889,sedimentary rocks,other,ok
207315.0,27.1677777778,-109.019166667,plutonic: undivided granitic rocks; intrusive igneous rocks; acidic igneous intrusive,other,ok
208266.0,17.3333333333,101.5,sedimentary rocks,other,ok
208267.0,17.5,101.666666667,sedimentary rocks,other,ok
208268.0,18.1166666667,102.083333333,sedimentary rocks,other,ok
208273.0,45.7833333333,100.6,sedimentary rocks,other,ok
208275.0,48.5833333333,97.7833333333,intrusive igneous rocks,other,ok
208280.0,48.775,104.21126,sedimentary rocks,other,ok
208285.0,9.28333333333,-79.3833333333,plutonic: undivided granitic rocks; intrusive igneous rocks,other,ok
208328.0,8.4875,-77.3211111111,sedimentary; sedimentary rocks,other,ok
208333.0,46.95157188965,79.864566853136,sedimentary rocks,other,ok
208336.0,51.95,72.3333333333,sedimentary rocks,other,ok
208337.0,53.0166666667,62.5666666667,clay; sedimentary rocks,other,ok
208346.0,50.1619444444,76.1619444444,sedimentary rocks,other,ok
208348.0,47.5333333333,84.4166666667,sedimentary rocks,other,ok
208398.0,47.3833333333,75.2333333333,intrusive igneous rocks,other,ok
208478.0,-5.98333333333,150.466666667,intrusive igneous rocks,other,ok
208484.0,16.8583333333,120.783333333,sedimentary rocks,other,ok
208930.0,16.3833333333,120.983333333,sedimentary rocks,other,ok
208931.0,7.16666666667,125.991666667,sedimentary rocks,other,ok
208933.0,7.93333333333,123.3,sedimentary rocks,other,ok
208934.0,8.12222222222,126.381666667,sedimentary rocks,other,ok
208935.0,16.45,120.866666667,sedimentary rocks,other,ok
208936.0,17.1666666667,120.733333333,sedimentary rocks,other,ok
208937.0,16.490278,120.65556,sedimentary rocks,other,ok
209628.0,-3.65,-78.416667,sedimentary rocks,other,ok
209836.0,-4.1155371964011,-78.583557670277,sedimentary rocks,other,ok
209837.0,-1.66666666667,-79.15,sedimentary rocks,other,ok
209838.0,29.4,64.1416666667,sedimentary rocks,other,ok
209839.0,29.1227777778,62.0788888889,sedimentary rocks,other,ok
226944.0,-4.7,141.783333333,intrusive igneous rocks,other,ok
227982.0,-22.6666666667,-68.75,sedimentary rocks,other,ok
227985.0,-25.2166666667,-69.2333333333,sedimentary rocks,other,ok
