Mindat_id,litho_class,age_category,Deposit_type
144966.0,mafic,Paleozoic,VMS
145027.0,metamorphic,Precambrian,VMS
145060.0,mafic,Paleozoic,VMS
145877.0,metamorphic,Precambrian,IOCG
145879.0,felsic,Precambrian,IOCG
145884.0,metamorphic,Unknown,IOCG
146259.0,mafic,Mesozoic,VMS
146855.0,felsic,Mesozoic,Porphyry
147142.0,volcanic,Paleozoic,VMS
155468.0,mafic,Precambrian,Sediment-Hosted
155526.0,mafic,Unknown,Magmatic sulfide
155678.0,mafic,Precambrian,Sediment-Hosted
155867.0,volcanic,Mesozoic,Porphyry
155979.0,felsic,Cenozoic,Porphyry
156937.0,siliciclastic,Paleozoic,VMS
157684.0,mafic,Precambrian,Magmatic sulfide
158068.0,siliciclastic,Cenozoic,Porphyry
158668.0,carbonate,Paleozoic,VMS
158696.0,felsic,Cenozoic,Porphyry
158941.0,volcanic,Unknown,IOCG
159565.0,volcanic,Cenozoic,VMS
162015.0,carbonate,Cenozoic,Porphyry
163419.0,carbonate,Unknown,Sediment-Hosted
164790.0,carbonate,Precambrian,Sediment-Hosted
166723.0,felsic,Unknown,Magmatic sulfide
171360.0,volcanic,Cenozoic,VMS
175692.0,felsic,Paleozoic,VMS
183025.0,felsic,Cenozoic,Porphyry
183459.0,felsic,Cenozoic,Porphyry
185726.0,felsic,Paleozoic,VMS
185841.0,mafic,Paleozoic,VMS
186761.0,metamorphic,Paleozoic,VMS
186817.0,felsic,Precambrian,VMS
186819.0,volcanic,Precambrian,VMS
186820.0,volcanic,Precambrian,VMS
186826.0,volcanic,Precambrian,VMS
186827.0,volcanic,Precambrian,VMS
187465.0,metamorphic,Cenozoic,Porphyry
187984.0,volcanic,Cenozoic,VMS
187986.0,carbonate,Cenozoic,VMS
187989.0,carbonate,Cenozoic,VMS
187990.0,mafic,Cenozoic,VMS
188080.0,volcanic,Cenozoic,VMS
188137.0,volcanic,Mesozoic,Sediment-Hosted
190419.0,mafic,Paleozoic,VMS
190420.0,felsic,Paleozoic,VMS
190656.0,volcanic,Unknown,Magmatic sulfide
190718.0,felsic,Precambrian,IOCG
190736.0,felsic,Unknown,IOCG
191095.0,felsic,Cenozoic,Porphyry
191789.0,felsic,Precambrian,IOCG
191790.0,siliciclastic,Precambrian,IOCG
191823.0,siliciclastic,Precambrian,Porphyry
191825.0,carbonate,Unknown,IOCG
191826.0,carbonate,Unknown,IOCG
191827.0,carbonate,Unknown,IOCG
191828.0,siliciclastic,Unknown,IOCG
191829.0,carbonate,Unknown,IOCG
191830.0,siliciclastic,Unknown,IOCG
192018.0,mafic,Paleozoic,VMS
192116.0,siliciclastic,Paleozoic,VMS
192120.0,mafic,Paleozoic,VMS
192198.0,volcanic,Mesozoic,VMS
192786.0,mafic,Precambrian,Magmatic sulfide
192788.0,mafic,Precambrian,Magmatic sulfide
193448.0,mafic,Precambrian,VMS
193482.0,volcanic,Unknown,VMS
193486.0,volcanic,Mesozoic,VMS
193982.0,carbonate,Paleozoic,VMS
194033.0,mafic,Paleozoic,VMS
194041.0,carbonate,Unknown,VMS
194178.0,mafic,Paleozoic,VMS
194183.0,carbonate,Cenozoic,Porphyry
194553.0,volcanic,Mesozoic,Porphyry
194599.0,volcanic,Precambrian,VMS
194728.0,felsic,Cenozoic,Porphyry
194773.0,felsic,Mesozoic,Porphyry
195133.0,volcanic,Cenozoic,Porphyry
195134.0,volcanic,Cenozoic,Porphyry
195346.0,mafic,Precambrian,VMS
195350.0,volcanic,Mesozoic,VMS
195374.0,volcanic,Precambrian,VMS
195437.0,mafic,Precambrian,VMS
195439.0,mafic,Precambrian,VMS
195445.0,volcanic,Precambrian,VMS
195447.0,volcanic,Precambrian,VMS
195451.0,volcanic,Precambrian,VMS
195453.0,volcanic,Precambrian,VMS
195460.0,volcanic,Mesozoic,VMS
195554.0,volcanic,Paleozoic,VMS
195671.0,volcanic,Mesozoic,Porphyry
195712.0,felsic,Mesozoic,VMS
195768.0,siliciclastic,Unknown,IOCG
